timestamp,utc,ticker,bid_price,ask_price,bid_amount,ask_amount,spread_bps,top_imbalance,source,symbol,side,price,amount,notional
1769737164511000,2026-01-30T01:39:24.511000,perp:btcusdt,82695.1,82874.5,1.206,0.029,21.67064485267757,0.9530364372469636,binance_booktickers,btcusdt,,,,
1763710462669000,2025-11-21T07:34:22.669000,perp:btcusdt,81624.7,81799.5,2.895,2.176,21.392180595040745,0.1417866298560441,binance_booktickers,btcusdt,,,,
1774538119578000,2026-03-26T15:15:19.578000,perp:btcusdt,68600.1,68746.4,0.215,17.36,21.303782768397937,-0.9755334281650072,binance_booktickers,btcusdt,,,,
1774824083162000,2026-03-29T22:41:23.162000,perp:btcusdt,65843.6,65983.4,0.416,19.526,21.20961563260764,-0.9582790091264668,binance_booktickers,btcusdt,,,,
1763710411304000,2025-11-21T07:33:31.304000,perp:btcusdt,83669.0,83845.7,0.416,0.262,21.09665599496606,0.2271386430678466,binance_booktickers,btcusdt,,,,
1763710470352000,2025-11-21T07:34:30.352000,perp:btcusdt,81426.9,81598.0,0.144,0.058,20.99065848223257,0.4257425742574257,binance_booktickers,btcusdt,,,,
1771939979536000,2026-02-24T13:32:59.536000,perp:btcusdt,62410.0,62540.9,71.67,0.007,20.95223003595836,0.9998046793253064,binance_booktickers,btcusdt,,,,
1768342234673000,2026-01-13T22:10:34.673000,perp:btcusdt,95600.0,95799.4,20.975,0.134,20.836010980180102,0.9873039935572504,binance_booktickers,btcusdt,,,,
1763710410993000,2025-11-21T07:33:30.993000,perp:btcusdt,83680.0,83854.1,0.972,0.202,20.783828486261104,0.6558773424190801,binance_booktickers,btcusdt,,,,
1769869602057000,2026-01-31T14:26:42.057000,perp:btcusdt,81550.0,81718.2,4.226,0.477,20.604134791710457,0.7971507548373379,binance_booktickers,btcusdt,,,,
1769879552209000,2026-01-31T17:12:32.209000,perp:btcusdt,78319.9,78480.7,2.651,0.001,20.51012559900956,0.9992458521870288,binance_booktickers,btcusdt,,,,
1772403188704000,2026-03-01T22:13:08.704000,perp:btcusdt,66443.9,66580.1,0.595,6.785,20.47750781813983,-0.8387533875338754,binance_booktickers,btcusdt,,,,
1773431146507000,2026-03-13T19:45:46.507000,perp:btcusdt,71094.1,71238.0,0.767,1.972,20.220315726388375,-0.4399415845198978,binance_booktickers,btcusdt,,,,
1762353930857000,2025-11-05T14:45:30.857000,perp:btcusdt,102914.9,103121.4,0.343,0.462,20.04501148584012,-0.1478260869565217,binance_booktickers,btcusdt,,,,
1772403189484000,2026-03-01T22:13:09.484000,perp:btcusdt,66057.3,66189.4,1.899,0.026,19.97781419120345,0.972987012987013,binance_booktickers,btcusdt,,,,
1769885018061000,2026-01-31T18:43:38.061000,perp:btcusdt,76082.8,76232.9,8.274,0.346,19.70906479108736,0.919721577726218,binance_booktickers,btcusdt,,,,
1769885020762000,2026-01-31T18:43:40.762000,perp:btcusdt,75928.5,76078.2,1.343,0.008,19.696500220055704,0.988156920799408,binance_booktickers,btcusdt,,,,
1772327462887000,2026-03-01T01:11:02.887000,perp:btcusdt,66335.2,66464.5,0.067,0.21,19.47293555633076,-0.5162454873646208,binance_booktickers,btcusdt,,,,
1772403185175000,2026-03-01T22:13:05.175000,perp:ethusdt,1945.67,1973.33,2.963,9.612,141.15845879050704,-0.5287475149105368,binance_booktickers,ethusdt,,,,
1769884996298000,2026-01-31T18:43:16.298000,perp:ethusdt,2251.48,2281.0,19.366,50.969,130.25981361197395,-0.4493211061349257,binance_booktickers,ethusdt,,,,
1770601844659000,2026-02-09T01:50:44.659000,perp:ethusdt,2055.7,2082.27,38.815,7.809,128.4204573740272,0.665022306108442,binance_booktickers,ethusdt,,,,
1771177506340000,2026-02-15T17:45:06.340000,perp:ethusdt,1949.61,1974.2,9.336,155.75,125.33736342993237,-0.8868953151690633,binance_booktickers,ethusdt,,,,
1765117519349000,2025-12-07T14:25:19.349000,perp:ethusdt,2914.0,2948.9,1720.535,11.775,119.05371062102404,0.9864054355167376,binance_booktickers,ethusdt,,,,
1769885042517000,2026-01-31T18:44:02.517000,perp:ethusdt,2238.78,2256.0,0.36,58.737,76.62221510285174,-0.987816640438601,binance_booktickers,ethusdt,,,,
1769884996350000,2026-01-31T18:43:16.350000,perp:ethusdt,2259.35,2274.25,21.52,23.462,65.73142756308492,-0.0431728246854297,binance_booktickers,ethusdt,,,,
1769885042361000,2026-01-31T18:44:02.361000,perp:ethusdt,2234.54,2249.27,8.381,1.07,65.70305164581023,0.7735689345042852,binance_booktickers,ethusdt,,,,
1770480799443000,2026-02-07T16:13:19.443000,perp:ethusdt,2057.0,2070.04,32.073,7.187,63.192990617973,0.6338767193071829,binance_booktickers,ethusdt,,,,
1769884997650000,2026-01-31T18:43:17.650000,perp:ethusdt,2269.41,2283.75,100.503,4.56,62.989220673115575,0.9131949401787498,binance_booktickers,ethusdt,,,,
1770480792891000,2026-02-07T16:13:12.891000,perp:ethusdt,2054.55,2067.51,14.089,59.664,62.88118076883905,-0.6179409651132836,binance_booktickers,ethusdt,,,,
1769884995570000,2026-01-31T18:43:15.570000,perp:ethusdt,2282.44,2296.09,27.597,68.972,59.62612454215694,-0.4284501237457154,binance_booktickers,ethusdt,,,,
1772403186683000,2026-03-01T22:13:06.683000,perp:ethusdt,1957.05,1968.75,5.761,162.884,59.60568546538308,-0.9316789706187554,binance_booktickers,ethusdt,,,,
1769884995102000,2026-01-31T18:43:15.102000,perp:ethusdt,2272.41,2285.74,218.061,12.611,58.488641225058096,0.8906585974890755,binance_booktickers,ethusdt,,,,
1769885042205000,2026-01-31T18:44:02.205000,perp:ethusdt,2234.03,2246.95,15.066,2.621,57.66595700047588,0.7036241307174761,binance_booktickers,ethusdt,,,,
1769884994218000,2026-01-31T18:43:14.218000,perp:ethusdt,2295.26,2308.44,454.763,7.72,57.25829224319497,0.9666149890914908,binance_booktickers,ethusdt,,,,
1769885034577000,2026-01-31T18:43:54.577000,perp:ethusdt,2240.55,2252.69,0.212,0.028,54.03673073327876,0.7666666666666667,binance_booktickers,ethusdt,,,,
1771177505612000,2026-02-15T17:45:05.612000,perp:ethusdt,1950.0,1960.56,1612.634,0.231,54.00761016325,0.9997135532112112,binance_booktickers,ethusdt,,,,
1765117496483000,2025-12-07T14:24:56.483000,perp:ethusdt,2950.0,2965.89,2900.474,0.99,53.71972771637024,0.9993175858807832,binance_booktickers,ethusdt,,,,
1769884996038000,2026-01-31T18:43:16.038000,perp:ethusdt,2283.66,2295.85,10.516,0.779,53.23713672423493,0.8620628596724215,binance_booktickers,ethusdt,,,,
1772403186891000,2026-03-01T22:13:06.891000,perp:ethusdt,1957.13,1967.55,0.002,41.466,53.09987056269476,-0.999903540079097,binance_booktickers,ethusdt,,,,
1772403186423000,2026-03-01T22:13:06.423000,perp:ethusdt,1958.69,1968.74,6.244,6.272,51.17850604593821,-0.0022371364653244,binance_booktickers,ethusdt,,,,
1770480836520000,2026-02-07T16:13:56.520000,perp:ethusdt,2035.13,2045.57,0.156,0.515,51.167691817579474,-0.5350223546944858,binance_booktickers,ethusdt,,,,
1768948410083000,2026-01-20T22:33:30.083000,perp:ethusdt,2916.0,2930.93,105.588,6.153,51.06953563664978,0.8898703251268557,binance_booktickers,ethusdt,,,,
1772639883973000,2026-03-04T15:58:03.973000,perp:ethusdt,2154.03,2165.0,0.01,423.439,50.79844316895135,-0.9999527688104116,binance_booktickers,ethusdt,,,,
1769879545518000,2026-01-31T17:12:25.518000,perp:ethusdt,2353.01,2364.66,76.335,7.981,49.38878726150679,0.8106883628255611,binance_booktickers,ethusdt,,,,
1770480343619000,2026-02-07T16:05:43.619000,perp:ethusdt,2099.99,2109.91,1.81,32.933,47.12701014275908,-0.8958063494804709,binance_booktickers,ethusdt,,,,
1765117524288000,2025-12-07T14:25:24.288000,perp:ethusdt,2910.0,2923.73,588.445,54.859,47.07108488051391,0.8294461094599132,binance_booktickers,ethusdt,,,,
1769885042465000,2026-01-31T18:44:02.465000,perp:ethusdt,2241.62,2251.96,1.371,17.238,46.021212485368665,-0.8526519426084154,binance_booktickers,ethusdt,,,,
1772611248159000,2026-03-04T08:00:48.159000,perp:ethusdt,2014.91,2024.14,79.412,364.384,45.7038164915018,-0.6421238587098576,binance_booktickers,ethusdt,,,,
1769885042414000,2026-01-31T18:44:02.414000,perp:ethusdt,2240.92,2250.97,3.163,22.596,44.74731126541268,-0.7544159322955083,binance_booktickers,ethusdt,,,,
1769884997598000,2026-01-31T18:43:17.598000,perp:ethusdt,2273.0,2283.15,17.486,0.445,44.555161704509686,0.9503652891640176,binance_booktickers,ethusdt,,,,
1769879516900000,2026-01-31T17:11:56.900000,perp:ethusdt,2385.23,2395.86,99.861,7.72,44.466847518035046,0.8564802334984802,binance_booktickers,ethusdt,,,,
1762240606995000,2025-11-04T07:16:46.995000,perp:ethusdt,3503.09,3518.53,11.924,3.627,43.978455114346986,0.5335348209118386,binance_booktickers,ethusdt,,,,
1769884997181000,2026-01-31T18:43:17.181000,perp:ethusdt,2284.94,2294.74,8.593,11.643,42.79775006113845,-0.1507214864597746,binance_booktickers,ethusdt,,,,
1768948412479000,2026-01-20T22:33:32.479000,perp:ethusdt,2913.09,2925.58,11.696,10.251,42.783716154534446,0.0658404337722695,binance_booktickers,ethusdt,,,,
1769885042257000,2026-01-31T18:44:02.257000,perp:ethusdt,2237.37,2246.95,6.192,1.985,42.72665643843404,0.5144918674330439,binance_booktickers,ethusdt,,,,
1772403186371000,2026-03-01T22:13:06.371000,perp:ethusdt,1959.65,1967.95,0.473,153.97,42.26499643548199,-0.9938747628574942,binance_booktickers,ethusdt,,,,
1774870011434000,2026-03-30T11:26:51.434000,perp:ethusdt,2076.5,2085.19,19.227,0.58,41.76188038993799,0.9414348462664716,binance_booktickers,ethusdt,,,,
1770480836832000,2026-02-07T16:13:56.832000,perp:ethusdt,2040.0,2048.4,33.913,443.717,41.091869680070886,-0.857994682076084,binance_booktickers,ethusdt,,,,
1769737385214000,2026-01-30T01:43:05.214000,perp:ethusdt,2682.51,2693.53,12.999,343.872,40.99671877441381,-0.9271501466916616,binance_booktickers,ethusdt,,,,
1774705217746000,2026-03-28T13:40:17.746000,perp:ethusdt,2038.45,2046.82,68.444,896.705,40.97648380645534,-0.8581690495457179,binance_booktickers,ethusdt,,,,
1769885041894000,2026-01-31T18:44:01.894000,perp:ethusdt,2229.8,2238.92,0.434,15.472,40.81705723339072,-0.9454293977115554,binance_booktickers,ethusdt,,,,
1773926233969000,2026-03-19T13:17:13.969000,perp:ethusdt,2117.74,2126.36,2.503,8.865,40.62109752362265,-0.5596410978184377,binance_booktickers,ethusdt,,,,
1769737384176000,2026-01-30T01:43:04.176000,perp:ethusdt,2679.12,2690.0,98.489,9.197,40.52805673927984,0.8291885667589102,binance_booktickers,ethusdt,,,,
1769885034785000,2026-01-31T18:43:54.785000,perp:ethusdt,2239.2,2248.27,8.931,1.859,40.423668570487,0.655421686746988,binance_booktickers,ethusdt,,,,
1770230425466000,2026-02-04T18:40:25.466000,perp:ethusdt,2163.59,2172.34,0.05,3.109,40.36043017299634,-0.9683444127888572,binance_booktickers,ethusdt,,,,
1771177505560000,2026-02-15T17:45:05.560000,perp:ethusdt,1956.6,1964.45,589.454,0.36,40.04029532905796,0.998779276178592,binance_booktickers,ethusdt,,,,
