timestamp,utc,symbol,side,price,bid_price,ask_price,price_minus_bid_bps,price_minus_ask_bps
1761955200015000,2025-11-01 00:00:00.015,btcusdt,sell,109557.2,,,,
1761955200052000,2025-11-01 00:00:00.052,btcusdt,buy,109557.3,,,,
1761955200100000,2025-11-01 00:00:00.100,btcusdt,sell,109557.2,,,,
1761955201524000,2025-11-01 00:00:01.524,btcusdt,buy,109557.3,109557.2,109557.3,0.0091276437084357,0.0
1762041601372000,2025-11-02 00:00:01.372,btcusdt,buy,110047.3,110047.2,110047.3,0.0090870016807155,0.0
1762041601372000,2025-11-02 00:00:01.372,btcusdt,buy,110047.3,110047.2,110047.3,0.0090870016807155,0.0
1762041601372000,2025-11-02 00:00:01.372,btcusdt,buy,110047.3,110047.2,110047.3,0.0090870016807155,0.0
1762041601372000,2025-11-02 00:00:01.372,btcusdt,buy,110047.3,110047.2,110047.3,0.0090870016807155,0.0
1762128000033000,2025-11-03 00:00:00.033,btcusdt,buy,110494.9,110494.8,110494.9,0.00905019145601,0.0
1762128000049000,2025-11-03 00:00:00.049,btcusdt,buy,110494.9,110494.8,110494.9,0.00905019145601,0.0
1762128000114000,2025-11-03 00:00:00.114,btcusdt,buy,110494.9,110494.8,110494.9,0.00905019145601,0.0
1762128001238000,2025-11-03 00:00:01.238,btcusdt,buy,110494.9,110494.8,110494.9,0.00905019145601,0.0
1762214400014000,2025-11-04 00:00:00.014,btcusdt,buy,106544.0,106543.9,106544.0,0.0093857936632584,0.0
1762214400123000,2025-11-04 00:00:00.123,btcusdt,sell,106543.9,106543.9,106544.0,0.0,-0.0093858024725789
1762214401212000,2025-11-04 00:00:01.212,btcusdt,buy,106544.0,106543.9,106544.0,0.0093857936632584,0.0
1762214401330000,2025-11-04 00:00:01.330,btcusdt,buy,106544.0,106543.9,106544.0,0.0093857936632584,0.0
1762300800016000,2025-11-05 00:00:00.016,btcusdt,sell,101450.2,101437.3,101437.4,1.2715598392111775,1.2617027861948926
