symbol,days,trades,buy_closer_to_ask_share_weighted,sell_closer_to_bid_share_weighted,trade_above_ask_share_weighted,trade_below_bid_share_weighted,spread_bps_at_trade_mean_weighted,spread_bps_at_trade_p50_median_day,spread_bps_at_trade_p99_median_day
btcusdt,179,804035257,0.9815599358171253,0.9820701345407639,0.306722892417077,0.30972045871773846,0.03557795870170004,0.0119206490085084,0.4114262204222628
ethusdt,179,1370451261,0.9753383348863808,0.9751346638495393,0.3241300540058348,0.3301198241144917,0.07843532715044689,0.0365479042509361,0.6523168405894012
