date,symbol,trades,buy_trades,sell_trades,buy_closer_to_ask_share,sell_closer_to_bid_share,trade_above_ask_share,trade_below_bid_share,spread_bps_at_trade_mean,spread_bps_at_trade_p50,spread_bps_at_trade_p99,top_imbalance_at_trade_mean,microprice_offset_at_trade_mean,buy_price_minus_ask_bps_p50,sell_price_minus_bid_bps_p50,trade_vs_mid_bps_p01,trade_vs_mid_bps_p50,trade_vs_mid_bps_p99
2025-11-01,btcusdt,1492868,743358,749510,0.9958364554312396,0.9953316041990212,0.2107826226751916,0.2077582366791371,0.015837686891189,0.0090865434190272,0.1543020080588389,-0.021978630478243,-0.0004566896812645,0.0,0.0,-1.516120043925975,-0.0045262099240692,2.799038981493795
2025-11-02,btcusdt,2070234,1013156,1057078,0.9931313637781348,0.9925019724183078,0.2361505994008406,0.2433724883274064,0.0222826724792695,0.0090646340123441,0.2911126050845627,-0.0002213505340084,0.0010631738581543,0.0,0.0,-2.045957720486421,-0.0045033806881445,1.9883957405752388
2025-11-03,btcusdt,5811943,2893929,2918014,0.9840811574852044,0.9835497704945898,0.2833904255427144,0.2955362776269485,0.0454818127942874,0.0093225446623321,0.8674040858501021,0.0005609646705709,0.0003692029991099,0.0280396106235458,-0.0466858638938998,-3.182114202233433,-0.0045231185638655,2.691334562580637
2025-11-04,btcusdt,8565627,4254661,4310966,0.975748714174878,0.9743280276392808,0.3028134426119652,0.3138289818130068,0.0462689064122865,0.0097342595811465,0.8423019346146765,-0.0038937919469449,0.0027037550270995,0.0765602988916853,-0.0862811115303207,-3.609638554216587,-0.0046679849045171,3.0019327643910256
2025-11-05,btcusdt,6085360,2995547,3089813,0.9833355978056764,0.9810703754563788,0.2822845320572653,0.283073639028751,0.0314283578601615,0.009815088638183,0.5241456426019928,-0.0210135009208694,0.0012549708010315,0.0401206025306249,-0.0197374913645603,-2.7163848601586142,-0.0047979165529954,3.189081981249098
2025-11-06,btcusdt,5320897,2693093,2627804,0.9837012683928852,0.9826334079710664,0.2867279708665663,0.2854509305479884,0.0314170443041514,0.0097891466757595,0.5017173983288156,-0.0035857265742691,0.0023771420117877,0.0298276558050494,-0.0393206570083237,-2.622166903628644,0.0048217449112132,3.5988015063197563
2025-11-07,btcusdt,5603055,2804590,2798465,0.9812539444268146,0.9818990053475743,0.2884620979090871,0.2867517809480721,0.0302129421170619,0.009889890898805,0.4680027495150183,-0.0004341182177235,0.0022375406776794,0.0398563179731248,-0.0299193673054029,-2.6935915009613733,1.4613687284518509e-12,3.032478090972338
2025-11-08,btcusdt,2558975,1242081,1316894,0.9912558037680312,0.9921618596485366,0.2339217850897332,0.2534526519407185,0.0262872862973495,0.0097839651579127,0.4317768106407645,-0.015107094792737,-8.204063250583881e-05,0.0,0.0,-2.997104924179908,-0.004849312464761,1.882640586797066
2025-11-09,btcusdt,3231981,1652741,1579240,0.9897618562134056,0.987426230338644,0.2683289289138766,0.2540522360744076,0.0284935266461902,0.0096997961593483,0.4671310078646284,0.0086985596242973,0.0021683428333606,0.0096483839444929,-0.0095849202365527,-2.3163245731818702,0.0047737846663086,3.6430100406559744
2025-11-10,btcusdt,4212641,2090779,2121862,0.9885157637416484,0.9872253709242166,0.2781646952588649,0.2754179622711738,0.0218853400029428,0.0094456044163177,0.319401779255247,0.0037959282403704,0.0010527942014686,0.0095608784144305,-0.0094786370477603,-2.5764666950314377,-0.0046950472887895,2.48816811833539
2025-11-11,btcusdt,4760167,2338785,2421382,0.9891760037797404,0.988605680557632,0.2640728781154106,0.2815791966962503,0.0187478456312259,0.0095655380453321,0.2641903227087537,-0.0125755331234162,-0.0002415913114356,0.0095888217357321,-0.0097252708250453,-3.26538832228116,-0.0046779598858306,1.9774410490211731
2025-11-12,btcusdt,4703497,2351703,2351794,0.9858196379389744,0.9878854185358072,0.2688682484542883,0.2799508535882982,0.0221980082842454,0.0097060474990496,0.2998281791101796,-0.0076993575600269,0.0003357385395775,0.0097952402959797,-0.0098804710019305,-2.8257477916946128,-0.0047527252129135,2.2222137263035555
2025-11-13,btcusdt,7282317,3686549,3595768,0.9836006519918764,0.9846002300482122,0.2909985928928938,0.2965524571369249,0.0251617193400805,0.0098678254130864,0.3964606698933879,0.0037011001930017,0.000205862185083,0.0392534388460057,-0.0592195748329332,-3.013405831832876,0.0048221494830569,3.405051522655776
2025-11-14,btcusdt,9131130,4554388,4576742,0.980439742946802,0.9808783191187094,0.3047790361105361,0.3236409951451792,0.0392981657013429,0.0103874249839198,0.6558754656453639,0.0142313317059229,-0.00034462483828,0.0737163353290661,-0.1151973592567119,-3.66872528564647,-0.0050160513646579,2.553130168913535
2025-11-15,btcusdt,3291285,1703570,1587715,0.9928285893740793,0.9926504441918104,0.2751244574687394,0.2690636028177444,0.022834855005305,0.0104272949033226,0.321430219314516,0.0102330256922235,-0.0001109173929094,0.0104474321784902,-0.0208681135222338,-2.361697335712845,0.0051884873694483,3.265866712797079
