date,hour,rows,spread_bps_mean,spread_bps_p99,top_imbalance_mean,source,symbol,notional_sum,buy_rows,sell_rows,buy_notional,sell_notional,notional_p99
2025-11-02,22,40924,0.0098811981662202,0.0091332583498139,0.0786920802041798,binance_booktickers,btcusdt,,,,,,
2025-11-02,23,51170,0.0107526903895754,0.0181594985070249,-0.0223254328532065,binance_booktickers,btcusdt,,,,,,
2025-11-03,0,49749,0.0097208577266359,0.0091141127940562,-0.0312587768837286,binance_booktickers,btcusdt,,,,,,
2025-11-03,1,55061,0.0103099287198428,0.0273631375670714,0.026727925457813,binance_booktickers,btcusdt,,,,,,
2025-11-03,2,58700,0.0113673900210602,0.0547223570005644,-0.0273418457905186,binance_booktickers,btcusdt,,,,,,
2025-11-03,3,62521,0.0135577680002672,0.1018895415485469,0.0184310863655831,binance_booktickers,btcusdt,,,,,,
2025-11-03,4,57931,0.0108634080980527,0.037129654899233,-0.0636584419023384,binance_booktickers,btcusdt,,,,,,
2025-11-03,5,52878,0.0105296465020112,0.0093146252196105,-0.0197037413322345,binance_booktickers,btcusdt,,,,,,
2025-11-03,6,55385,0.011703507350323,0.0466435097188749,-0.0062420867928807,binance_booktickers,btcusdt,,,,,,
2025-11-03,7,54643,0.0104983107768413,0.0279270452477113,-0.0152497316637562,binance_booktickers,btcusdt,,,,,,
2025-11-03,8,53614,0.0110072617439592,0.0279199497815878,-0.0117041520891752,binance_booktickers,btcusdt,,,,,,
2025-11-03,9,54466,0.0103735274598759,0.0185652582749616,-0.0353087218848144,binance_booktickers,btcusdt,,,,,,
2025-11-03,10,49720,0.013276973072584,0.0559216351491542,-0.0457766424608751,binance_booktickers,btcusdt,,,,,,
2025-11-03,11,54865,0.0111995635637456,0.0279979113560844,-0.021061246122978,binance_booktickers,btcusdt,,,,,,
2025-11-03,12,53661,0.0111632516834721,0.0092889538088956,-0.0319793311620223,binance_booktickers,btcusdt,,,,,,
2025-11-03,13,50355,0.0106475822933635,0.018575086536414,0.0126259644618746,binance_booktickers,btcusdt,,,,,,
2025-11-03,14,59468,0.0112052895238624,0.0464695459507134,0.0274439838920991,binance_booktickers,btcusdt,,,,,,
2025-11-03,15,66299,0.0507398292493951,0.983204224753748,-0.0280324647609031,binance_booktickers,btcusdt,,,,,,
2025-11-03,16,66570,0.0143770516396602,0.1424441227317554,0.0219707404993586,binance_booktickers,btcusdt,,,,,,
2025-11-03,17,62938,0.0123227456173158,0.0559512552669547,0.0011562442903985,binance_booktickers,btcusdt,,,,,,
2025-11-03,18,56984,0.0106523259067754,0.0279185207281439,0.0423065896202557,binance_booktickers,btcusdt,,,,,,
2025-11-03,19,57878,0.0107788693923538,0.0280611302371221,-0.0160613761703641,binance_booktickers,btcusdt,,,,,,
2025-11-03,20,58807,0.0111686403802648,0.0468786990223447,0.0204678781285914,binance_booktickers,btcusdt,,,,,,
2025-11-03,21,56202,0.0123683712899405,0.0750968514709042,0.0191697963143431,binance_booktickers,btcusdt,,,,,,
2025-11-03,22,51207,0.0111655722791649,0.0283260574710128,0.0557740818863338,binance_booktickers,btcusdt,,,,,,
2025-11-03,23,46840,0.0098867772685983,0.0094343761298272,0.066573888413138,binance_booktickers,btcusdt,,,,,,
2025-11-04,0,56435,0.0117886676879536,0.0563141805668462,-0.0018599222557269,binance_booktickers,btcusdt,,,,,,
2025-11-04,1,54344,0.0118429342429209,0.0376317935979599,0.017969024472318,binance_booktickers,btcusdt,,,,,,
2025-11-04,2,50848,0.0105333620180043,0.0093970434087794,0.0238115075761325,binance_booktickers,btcusdt,,,,,,
