date,symbol,source,side,size_bucket,events,notional_sum,notional_p50,notional_max,spread_bps_at_event_mean,mid_ret_before_5s_bps,mid_ret_after_5s_bps,signed_mid_ret_after_5s_bps,mid_ret_before_30s_bps,mid_ret_after_30s_bps,signed_mid_ret_after_30s_bps,mid_ret_before_120s_bps,mid_ret_after_120s_bps,signed_mid_ret_after_120s_bps,mid_ret_before_300s_bps,mid_ret_after_300s_bps,signed_mid_ret_after_300s_bps,trade_notional_before_1s,trade_notional_after_1s,signed_trade_notional_before_1s,signed_trade_notional_after_1s,trade_notional_before_5s,trade_notional_after_5s,signed_trade_notional_before_5s,signed_trade_notional_after_5s,trade_notional_before_30s,trade_notional_after_30s,signed_trade_notional_before_30s,signed_trade_notional_after_30s
2025-11-01,btcusdt,binance,buy,00_<1k,114.0,42668.59803,221.5087,997.8327,0.0108352822042671,1.193312859499563,0.1393895215249428,0.1393895215249428,3.668025493469361,0.2755562302396005,0.2755562302396005,6.589076271092755,-0.6707184043099373,-0.6707184043099373,10.620596107860273,-3.46010131722886,-3.46010131722886,647001.7039763076,196370.2581852165,329979.1292096675,37472.41792894723,2016837.0486454936,1276930.6406922992,1222486.682396528,369793.4435955941,7314720.962204464,6391896.530442236,3911279.24119307,1696561.2879955582
2025-11-01,btcusdt,binance,buy,01_1k_10k,74.0,235414.03878,2435.6706,8989.1856,0.0092005583685575,1.4601041151729184,-0.0356680847648339,-0.0356680847648339,3.531472015237033,-0.1721566446047432,-0.1721566446047432,7.105885098992027,-1.4132253251601985,-1.4132253251601985,10.20074116931319,-2.8063025074431684,-2.8063025074431684,578152.724266422,189513.02834984215,319649.9339337664,57300.51826082666,2931911.065804344,1019638.9187137734,2038168.7540986445,205108.12519192984,8485214.489562351,6032551.231648924,4877199.480129741,998934.536279751
2025-11-01,btcusdt,binance,buy,02_10k_100k,27.0,625793.8818,22121.520000000004,55370.3,0.0090757950287421,1.656966885841621,-0.2136688020496148,-0.2136688020496148,4.352501704859483,-0.2098894585251813,-0.2098894585251813,7.573839029190626,-2.300124234549412,-2.300124234549412,9.964189440562496,-5.093709942773949,-5.093709942773949,408187.9753441888,898812.0805889732,189118.36361109128,437429.68936669454,2872613.2506513973,1367137.0174962238,2033395.7152666228,386122.58637781057,8358078.170123798,5607234.9930616,5271798.521429539,1416227.01343335
2025-11-01,btcusdt,binance,buy,03_100k_1m,4.0,582138.063,144289.07624999998,193012.5305,0.0090721774701557,1.1750812156813384,0.2672891972572883,0.2672891972572883,2.828998252956331,2.4762277703736078,2.4762277703736078,3.911598020577945,4.424135984485385,4.424135984485385,12.774873923128334,0.8653177992826824,0.8653177992826824,991102.8802245856,79250.21719953418,189124.89307494837,50359.68465004489,6411610.923228204,805837.3757232428,5094917.962275136,192418.41922495887,9733218.209777055,9236013.355174392,6320129.884925574,938984.4119248614
2025-11-01,btcusdt,binance,sell,00_<1k,128.0,45018.211,219.6957,986.634,0.0115172902806308,-0.8291480416554967,0.0755711266004881,-0.0755711266004881,-2.0660259940188097,0.320805215852132,-0.320805215852132,-3.413313369009565,1.1130770441077045,-1.1130770441077045,-6.224389689534499,2.6760695866438757,-2.6760695866438757,348341.9950148921,185324.94863424025,-134930.69505859868,-14567.78328749916,1363671.0079693785,807637.8102859538,-730676.8088445417,-74470.43764532518,4562741.043064282,3845879.505889815,-1820031.050664086,-46847.98668514585
2025-11-01,btcusdt,binance,sell,01_1k_10k,68.0,221703.54967,2353.2689,9377.6378,0.009101871639033,-0.7401582772314886,-0.1050009257633318,0.1050009257633318,-2.408287359597308,-0.0252137718106105,0.0252137718106105,-4.799696106654028,0.3191918134831876,-0.3191918134831876,-9.010074848757345,1.7297258752725484,-1.7297258752725484,370402.73165160354,342799.0048120684,39691.74167793788,-125250.7013470588,1737754.955895742,1047597.583277295,-683113.45330736,-367995.74391471,5237521.343395821,4254946.954118872,-2387438.6557382466,-1256173.9467426543
2025-11-01,btcusdt,binance,sell,02_10k_100k,26.0,647981.6912,18602.03625,77717.594,0.0091019741348313,-0.9448342943300436,-0.2515705780477072,0.2515705780477072,-3.3513309942650755,0.0402922640034034,-0.0402922640034034,-5.655174073945388,0.8863008021590748,-0.8863008021590748,-8.662126111173816,1.2317761221452737,-1.2317761221452737,203241.24303772155,237225.48818828491,-56806.568961532284,49407.853019236674,1573076.9855838434,1055454.9159376302,-796100.2816923265,-189790.74746922168,5461535.662574525,5368553.090123136,-3073277.7010308164,236563.0183115537
2025-11-01,btcusdt,binance,sell,03_100k_1m,4.0,972308.6139,245408.9253,372087.7633000001,0.2688389057686109,-2.132892462768906,-1.7928766149867237,1.7928766149867237,-3.50246049581552,0.3027715650406879,-0.3027715650406879,-5.1034986196777545,2.869550050501448,-2.869550050501448,-9.126579531709677,5.080963036018645,-5.080963036018645,2544329.0866485685,2030710.976179242,-1457727.6067499914,-1841326.2624749693,3189981.7025508285,3984434.330456376,-1900869.8724499573,-2245614.35724994,4664129.73430039,7890743.236877546,-2737805.050149996,-3199575.5581249986
2025-11-01,btcusdt,bybit,buy,00_<1k,58.0,23371.9363,331.74585,997.6662,0.0090716460216859,2.50376742829983,-0.1353006293427547,-0.1353006293427547,6.057419843289713,-0.8804714057575503,-0.8804714057575503,9.900277261524309,-4.341857283176644,-4.341857283176644,15.536139394627227,-8.14392113961979,-8.14392113961979,1406740.0954170425,643028.1818842769,505904.1983345313,333850.8814362145,5417145.2855443545,2081021.7357170752,3535018.40081032,963724.1898448268,14466818.86955196,10295048.885154584,8659800.042620765,3901254.236705047
2025-11-01,btcusdt,bybit,buy,01_1k_10k,49.0,147479.2098,2427.3832,8283.0675,0.0105546937669146,2.236545765653636,-0.0468599638387114,-0.0468599638387114,6.040398098018931,-0.5152046886083708,-0.5152046886083708,10.573169998328655,-6.159791219534845,-6.159791219534845,15.85352323724002,-8.486267118363324,-8.486267118363324,1613381.0726447215,355851.61286911124,1120003.6886204272,28050.8709265412,5275911.685087477,2112941.88915871,3605243.683034711,699001.7611060845,14583801.51873373,12314279.717688678,9227085.993302025,4208460.333206142
2025-11-01,btcusdt,bybit,buy,02_10k_100k,11.0,275644.83920000005,18430.3824,47539.7637,0.0090638535954549,2.9253488845678075,-1.0587647045531134,-1.0587647045531134,6.233985996064862,-2.4407387090538144,-2.4407387090538144,9.708933026251415,-3.6600833133259503,-3.6600833133259503,13.659270629163387,-7.57607407033584,-7.57607407033584,2155318.88964536,475996.5222089074,1524914.9958636889,-42941.71160902963,5386068.390980894,1670433.8921269178,3864562.630199968,-536568.3637453921,13477683.729534918,7079033.736995199,8947893.687845321,-437045.3161001199
