source,symbol,path,rows,row_groups,size_mb,min_timestamp,max_timestamp,min_utc,max_utc,schema
binance_trades,btcusdt,liquidation_task/data/binance_trades/perp_btcusdt.parquet,804035257,857,2444.735683441162,1761955200015000,1777420799378000,2025-11-01T00:00:00.015000+00:00,2026-04-28T23:59:59.378000+00:00,"timestamp:int64, ticker:string, side:string, price:double, amount:double"
binance_trades,ethusdt,liquidation_task/data/binance_trades/perp_ethusdt.parquet,1370451261,1400,3927.1849794387817,1761955200058000,1777420799990000,2025-11-01T00:00:00.058000+00:00,2026-04-28T23:59:59.990000+00:00,"timestamp:int64, ticker:string, side:string, price:double, amount:double"
binance_booktickers,btcusdt,liquidation_task/data/binance_booktickers/perp_btcusdt.parquet,202748814,314,1548.664059638977,1761955200491000,1777420799709000,2025-11-01T00:00:00.491000+00:00,2026-04-28T23:59:59.709000+00:00,"timestamp:int64, ticker:string, bid_price:double, bid_amount:double, ask_price:double, ask_amount:double"
binance_booktickers,ethusdt,liquidation_task/data/binance_booktickers/perp_ethusdt.parquet,220134233,331,2440.739930152893,1761955200734000,1777420799857000,2025-11-01T00:00:00.734000+00:00,2026-04-28T23:59:59.857000+00:00,"timestamp:int64, ticker:string, bid_price:double, bid_amount:double, ask_price:double, ask_amount:double"
binance_liquidations,btcusdt,liquidation_task/data/binance_liquidations/perp_btcusdt.parquet,236067,179,2.845953941345215,1761955325274000,1777419146199000,2025-11-01T00:02:05.274000+00:00,2026-04-28T23:32:26.199000+00:00,"timestamp:int64, ticker:string, side:string, price:double, amount:double"
binance_liquidations,ethusdt,liquidation_task/data/binance_liquidations/perp_ethusdt.parquet,270796,179,3.5864076614379883,1761955324068000,1777420705164000,2025-11-01T00:02:04.068000+00:00,2026-04-28T23:58:25.164000+00:00,"timestamp:int64, ticker:string, side:string, price:double, amount:double"
bybit_liquidations,btcusdt,liquidation_task/data/bybit_liquidations/btcusdt.parquet,438216,179,4.461949348449707,1761958180841000,1777409404270000,2025-11-01T00:49:40.841000+00:00,2026-04-28T20:50:04.270000+00:00,"timestamp:int64, ticker:string, side:string, price:double, amount:double"
bybit_liquidations,ethusdt,liquidation_task/data/bybit_liquidations/ethusdt.parquet,302156,179,3.2647829055786133,1761955329502000,1777417264721000,2025-11-01T00:02:09.502000+00:00,2026-04-28T23:01:04.721000+00:00,"timestamp:int64, ticker:string, side:string, price:double, amount:double"
