date,symbol,source,side,size_bucket,events,other_liq_notional_prev_1s,other_signed_liq_prev_1s,other_liq_notional_next_1s,other_signed_liq_next_1s,other_liq_notional_prev_5s,other_signed_liq_prev_5s,other_liq_notional_next_5s,other_signed_liq_next_5s,other_liq_notional_prev_30s,other_signed_liq_prev_30s,other_liq_notional_next_30s,other_signed_liq_next_30s
2025-11-01,btcusdt,binance,buy,00_<1k,114.0,2867.245302631579,2867.2453026315784,445.0492842105265,445.0492842105263,3127.6670342105267,3114.257920175439,984.069530701756,984.0695307017558,10070.501992982458,10053.24696315789,7400.165763157895,7273.724005263159
2025-11-01,btcusdt,binance,buy,01_1k_10k,74.0,1947.2918864864864,1947.2918864864864,976.4548162162145,908.3545918918916,3258.4338797297305,3219.8865905405432,1595.3081351351327,1527.20791081081,11248.079895945948,11209.532606756758,10002.557105405403,9925.549548648643
2025-11-01,btcusdt,binance,buy,02_10k_100k,27.0,6043.445000000001,6043.444999999999,287.18164444444443,287.18164444444443,12124.621862962966,12124.621862962962,861.9348481481463,861.9348481481463,18364.65115925926,18364.651159259254,3719.938374074072,3719.938374074072
2025-11-01,btcusdt,binance,buy,03_100k_1m,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.1920000000027,1414.1920000000027,221.795100000003,221.795100000003,11065.933000000005,11065.93299999999
2025-11-01,btcusdt,binance,sell,00_<1k,128.0,128.90883359374973,-116.83641015624993,24.769746874999782,-24.769746874999782,476.4092687499996,-460.8885671874997,267.93219609374984,-264.4843304687499,1401.1308289062486,-1370.0636773437484,1606.6969960937483,-346.2286429687483
2025-11-01,btcusdt,binance,sell,01_1k_10k,68.0,32.09976470588214,-32.09976470588214,113.97353970588216,-113.97353970588216,324.5124411764688,-321.26700294117467,253.69614999999877,-250.45071176470464,760.0444044117622,-740.57293970588,2205.888582352938,-2196.153044117644
2025-11-01,btcusdt,binance,sell,02_10k_100k,26.0,0.0,0.0,4.243526923076877,4.243526923076877,512.5001384615383,-512.5001384615383,1715.409426923076,1715.409426923076,874.1289538461526,-865.6408846153834,4162.860996153844,-732.0421423076918
2025-11-01,btcusdt,binance,sell,03_100k_1m,4.0,27.312275000003865,-27.312275000003865,0.0,0.0,245.86654999999155,-245.86654999999155,2353.85722499997,-1249.491224999991,327.5238499999914,-327.5238499999914,4100.768174999959,-2886.06387499998
2025-11-01,btcusdt,bybit,buy,00_<1k,58.0,1418.2186948275853,1059.553729310346,2205.062193103446,2186.174931034483,7396.9898137931,6917.579975862072,4233.270296551721,4150.244765517242,41024.9232434483,32804.206098620685,14787.372101724088,13885.32778448276
2025-11-01,btcusdt,bybit,buy,01_1k_10k,49.0,957.5246938775608,957.5246938775506,2182.0595346938685,2182.059534693877,16716.04083877553,4566.547557142857,4025.749777551008,4025.749777551021,40966.68737959185,28776.880232653057,8969.04733714283,8969.047337142854
2025-11-01,btcusdt,bybit,buy,02_10k_100k,11.0,1631.5699090909063,1631.5699090909088,6614.916509090912,6614.916509090909,5207.09036363638,3312.703999999998,7047.706663636363,7047.706663636366,41619.24016363637,39704.90047272727,9777.652336363575,9777.65233636364
2025-11-01,btcusdt,bybit,buy,03_100k_1m,3.0,0.0,0.0,4467.133166666764,4467.133166666659,0.0,0.0,8637.36803333337,8637.368033333325,5274.728673333458,5274.728673333321,18275.79159999996,18275.791599999997
2025-11-01,btcusdt,bybit,sell,00_<1k,30.0,667.020873333343,127.64816666666545,12854.58695666665,-12854.586956666668,45732.58970333335,-44937.92066333334,38790.027586666656,-38385.35028666667,90783.81913000005,-89508.82400333333,49500.39160266668,-49088.34356266667
2025-11-01,btcusdt,bybit,sell,01_1k_10k,21.0,761.9862380952275,-372.50979047618966,234.2015999999851,-234.20160000000035,54693.427946666656,-54303.95149904762,5701.505771428546,-5522.590323809523,99806.02601809528,-99406.0598847619,11947.555272857157,-11768.639825238097
2025-11-01,btcusdt,bybit,sell,02_10k_100k,3.0,0.0,0.0,0.0,0.0,0.0,0.0,328.2005999999431,-328.2006000000013,14228.201233333364,-14228.20123333334,510.5071666665996,-510.5071666666675
2025-11-02,btcusdt,binance,buy,00_<1k,142.0,1574.264939436615,1485.0175084507048,2690.8753021126786,2573.8797894366216,5164.594073239423,4053.954736619718,5996.1072802816925,5522.273874647891,9968.489318309845,8834.749798591543,12499.799720422538,10586.500742957753
2025-11-02,btcusdt,binance,buy,01_1k_10k,112.0,2744.839427678572,2721.3090991071435,1548.808855357145,1191.700837500001,10403.021806250004,10308.852791964286,4750.334008928571,4204.8834964285725,24366.88757053573,24268.784363392857,16755.073899107134,9707.692788392862
2025-11-02,btcusdt,binance,buy,02_10k_100k,32.0,14549.337643750006,14549.337643750005,5577.173768749986,5577.1737687499935,18169.214040625004,18155.453915625003,20857.69047499997,20857.690474999992,34597.244465624986,34569.714665625004,37737.39899062498,37737.39899062499
2025-11-02,btcusdt,binance,buy,03_100k_1m,6.0,92.80268333334244,92.80268333334244,0.0,0.0,5296.154066666651,5296.15406666667,167.30610000000647,167.30610000000647,10752.085299999975,10752.085299999995,631.4048500000112,631.4048500000112
2025-11-02,btcusdt,binance,sell,00_<1k,219.0,1593.9491383561613,-1593.9491383561694,7200.207531963467,-7200.20753196347,17828.80266712326,-17824.75445890412,12102.790325114152,-12081.450735159824,28440.97968858442,-28426.798052968064,41639.84466164382,-41587.13095662103
2025-11-02,btcusdt,binance,sell,01_1k_10k,115.0,6611.1825417391165,-6611.182541739133,659.8359495652152,-652.1267530434775,23709.283278260868,-23701.574081739134,6290.542733913022,-6282.833537391308,30999.241084347817,-30891.31388782609,39369.645300869495,-39346.51771130437
2025-11-02,btcusdt,binance,sell,02_10k_100k,38.0,19610.272868421016,-19610.27286842107,7258.454294736828,-7258.454294736844,29895.19831578941,-29889.36257368424,7588.089578947365,-7588.089578947371,33306.469786842026,-33119.69128684214,54959.55518684205,-54959.555186842124
2025-11-02,btcusdt,binance,sell,03_100k_1m,2.0,0.0,0.0,0.0,0.0,109.72450000001118,-109.7244999999998,0.0,0.0,2744.911450000014,-2411.991549999996,604.0278000000399,-604.0277999999962
2025-11-02,btcusdt,bybit,buy,00_<1k,141.0,3085.206458156033,3019.754551773051,5270.623669503564,5270.623669503549,5501.6714286525,5434.660186099292,12110.216923049671,11625.342428723408,11848.166485744696,11667.353742765965,22414.752452624147,18135.26829588653
2025-11-02,btcusdt,bybit,buy,01_1k_10k,90.0,4499.955398888899,4499.955398888894,3353.1486333333523,3353.148633333338,9024.557284111115,9022.101013000009,8282.03853077779,8282.03853077778,13990.637972555563,13983.303488111116,17987.133016333362,17396.036440777778
2025-11-02,btcusdt,bybit,buy,02_10k_100k,31.0,928.2555483870852,928.2555483870924,4721.884587096806,4721.884587096775,6039.424158387082,6039.424158387101,10994.248546451634,10994.248546451614,9774.573648387086,9774.573648387111,26996.880251612973,26996.880251612907
2025-11-02,btcusdt,bybit,buy,03_100k_1m,5.0,8199.20928,8199.20928000001,4581.753819999995,4581.753819999996,23081.07456,23081.074560000023,8408.055239999992,8408.055239999992,38073.39071999998,38073.390720000025,25637.933733999984,25637.933733999987
2025-11-02,btcusdt,bybit,sell,00_<1k,204.0,1620.7062915195854,-1544.7017326960752,3949.0809279901705,-3947.992188774505,2921.7455670097006,-2779.412470931371,11216.40738784305,-10894.3042907843,27666.99633985268,-27426.98300357845,14260.23908436256,-13822.63193240193
2025-11-02,btcusdt,bybit,sell,01_1k_10k,157.0,2134.221445987225,-2122.9893848407637,4026.100607070038,-3962.7565331847086,3254.4254340763064,-3171.139273566879,9422.05880082792,-9272.5576976433,24521.841746560225,-24370.750740191103,15131.989396178104,-14979.680565605067
2025-11-02,btcusdt,bybit,sell,02_10k_100k,35.0,2046.9614614285597,-1723.747358571432,4477.918074285684,-4477.918074285704,2972.4760714284744,-2598.878151428578,8449.050677428475,-8386.07219742855,26505.51389142831,-26081.53732000004,11404.223290571232,-11341.244810571388
