horizon_s,feature,validation_spearman,sample_spearman,importance_drop
30,side_aware_return_30s,0.010913007663987825,0.010913007663987825,0.004913033192402069
30,side_aware_neg_trade_flow_5s,0.010913007663987825,0.010913007663987825,0.004069744801165869
30,side_aware_liq_total_2s,0.010913007663987825,0.010913007663987825,0.004041173419750084
30,spread_bps,0.010913007663987825,0.010913007663987825,0.0017298500133111627
30,is_btc,0.010913007663987825,0.010913007663987825,0.0010126488887412938
30,side_aware_book_imbalance,0.010913007663987825,0.010913007663987825,0.0007657288076083433
30,log_notional,0.010913007663987825,0.010913007663987825,0.0002983221469699225
30,side_aware_neg_trade_flow_1s,0.010913007663987825,0.010913007663987825,0.0
30,side_aware_liq_total_1s,0.010913007663987825,0.010913007663987825,-6.409070897514524e-05
30,side_aware_bybit_liq_5s,0.010913007663987825,0.010913007663987825,-0.0010086676768036353
30,side_aware_return_1s,0.010913007663987825,0.010913007663987825,-0.002076747286373212
30,side_aware_return_5s,0.010913007663987825,0.010913007663987825,-0.0023179285061514943
120,side_aware_return_5s,-0.006607047100287992,-0.006607047100287992,0.0039752291826569775
120,spread_bps,-0.006607047100287992,-0.006607047100287992,0.0025314753712043494
120,side_aware_book_imbalance,-0.006607047100287992,-0.006607047100287992,0.0021499319209901937
120,side_aware_liq_total_2s,-0.006607047100287992,-0.006607047100287992,0.0016214988150471026
120,is_btc,-0.006607047100287992,-0.006607047100287992,0.001028787639277367
120,side_aware_liq_total_1s,-0.006607047100287992,-0.006607047100287992,0.0005976692720521155
120,side_aware_neg_trade_flow_5s,-0.006607047100287992,-0.006607047100287992,0.0005372559028859834
120,log_notional,-0.006607047100287992,-0.006607047100287992,0.0003174509163767856
120,side_aware_neg_trade_flow_1s,-0.006607047100287992,-0.006607047100287992,0.0
120,side_aware_bybit_liq_5s,-0.006607047100287992,-0.006607047100287992,-0.0019590228557218392
120,side_aware_return_30s,-0.006607047100287992,-0.006607047100287992,-0.0028397833217003133
120,side_aware_return_1s,-0.006607047100287992,-0.006607047100287992,-0.007378282524177879
300,side_aware_return_5s,0.008386843503306912,0.008386843503306912,0.011532595154869383
300,side_aware_bybit_liq_5s,0.008386843503306912,0.008386843503306912,0.004788923244562631
300,spread_bps,0.008386843503306912,0.008386843503306912,0.004679129139245036
300,side_aware_book_imbalance,0.008386843503306912,0.008386843503306912,0.0035840040636397298
300,side_aware_return_1s,0.008386843503306912,0.008386843503306912,0.0006847128829979565
300,side_aware_neg_trade_flow_1s,0.008386843503306912,0.008386843503306912,0.0
300,is_btc,0.008386843503306912,0.008386843503306912,0.0
300,log_notional,0.008386843503306912,0.008386843503306912,-0.00011860185879944939
300,side_aware_neg_trade_flow_5s,0.008386843503306912,0.008386843503306912,-0.0003213306508201737
300,side_aware_liq_total_1s,0.008386843503306912,0.008386843503306912,-0.00046377792346790486
300,side_aware_liq_total_2s,0.008386843503306912,0.008386843503306912,-0.002648595832935344
300,side_aware_return_30s,0.008386843503306912,0.008386843503306912,-0.007298316800539682
