date,symbol,horizon_s,pnl_all,pnl_kept,pnl_filtered,score,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count
2026-02-01,btcusdt,30,-0.3296051671913012,,-0.3296051671913012,,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,btcusdt,120,-0.570508366859986,-14.000938333256492,-0.5684111294975631,-13.430429966396506,13595179919.170898,2122632.5354,13593057286.6355,395,6759120
2026-02-01,btcusdt,300,0.13480203601789822,-18.446792640404414,0.1377036567929809,-18.581594676422313,13595179919.170898,2122632.5354,13593057286.6355,395,6759120
2026-02-01,ethusdt,30,-0.2086894815485886,,-0.2086894815485886,,16428200726.07704,0.0,16428200726.07704,0,15342731
2026-02-01,ethusdt,120,-1.060709646213899,-8.505386309331943,-1.0570255918782223,-7.444676663118043,16428200726.07704,8125597.8876600005,16420075128.18938,3793,15338938
2026-02-01,ethusdt,300,-0.1490942176810457,61.37485386992362,-0.1795398069197273,61.523948087604666,16428200726.07704,8125597.8876600005,16420075128.18938,3793,15338938
2026-02-02,btcusdt,30,-0.14490576039062938,3.407481950586797,-0.1450851407450253,3.5523877109774262,18795658671.019,949052.2844,18794709618.7346,221,10355775
2026-02-02,btcusdt,120,-0.1550310515488774,-11.796509411846802,-0.14657696377097384,-11.641478360297924,18795658671.019,13639576.792100001,18782019094.2269,3487,10352509
2026-02-02,btcusdt,300,-0.37839088220196265,-24.516005652302677,-0.36086205057937565,-24.137614770100715,18795658671.019,13639576.792100001,18782019094.2269,3487,10352509
2026-02-02,ethusdt,30,-0.0039780707097710755,,-0.0039780707097710755,,20740413421.44527,0.0,20740413421.44527,0,21221430
2026-02-02,ethusdt,120,0.3461038379852442,20.35308500841425,0.3423451327841132,20.006981170429007,20740413421.44527,3895762.98954,20736517658.45573,1387,21220043
2026-02-02,ethusdt,300,0.4105125879181363,37.66915019253428,0.40351281949937484,37.25863760461615,20740413421.44527,3895762.98954,20736517658.45573,1387,21220043
2026-02-03,btcusdt,30,-0.11104381795216946,,-0.11104381795216946,,21647930470.5929,0.0,21647930470.5929,0,8903914
2026-02-03,btcusdt,120,-0.42216353220503655,-5.6657931318091626,-0.41312568936130856,-5.243629599604126,21647930470.5929,37247854.662200004,21610682615.9307,8007,8895907
2026-02-03,btcusdt,300,-0.5932023038709833,-12.502665359259737,-0.5726753285377306,-11.909463055388754,21647930470.5929,37247854.662200004,21610682615.9307,8007,8895907
2026-02-03,ethusdt,30,-0.08327108619901565,-90.7363751614215,-0.07308959397084082,-90.65310407522249,22430362144.52658,2518930.9699099995,22427843213.55667,1291,18296569
2026-02-03,ethusdt,120,-0.1769298627614181,30.922362485898937,-0.2100532055272471,31.099292348660356,22430362144.52658,23864790.35353,22406497354.17305,6347,18291513
2026-02-03,ethusdt,300,-1.3825410534387865,28.59203845105849,-1.4144664831256726,29.974579504497274,22430362144.52658,23864790.35353,22406497354.17305,6347,18291513
2026-02-04,btcusdt,30,-0.4157036612914518,7.4343258740983265,-0.4173660366321055,7.850029535389778,20261582369.3745,4289821.261,20257292548.113503,1282,9144170
2026-02-04,btcusdt,120,-0.14843177544064007,20.924329270328702,-0.16907778564107176,21.07276104576934,20261582369.3745,19831828.7399,20241750540.634598,5113,9140339
2026-02-04,btcusdt,300,0.09188523958078337,77.77514192670628,0.01577516997568355,77.68325668712549,20261582369.3745,19831828.7399,20241750540.634598,5113,9140339
2026-02-04,ethusdt,30,-0.2418901912890708,62.12917723822044,-0.2425201144306074,62.371067429509516,21471362473.96348,216850.08869,21471145623.874786,78,18759904
