split,variant,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
train,baseline_liq,30,62,-0.057733916222036594,4.303854783132893,-0.12991931091804496,4.36158869935493,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,baseline_liq,120,62,0.05686434341476281,11.448532529303579,-0.13167064255628122,11.391668185888816,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,baseline_liq,300,62,0.10651936921128181,12.053139706041685,-0.0912002150367713,11.946620336830403,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,bybit300_hybrid,30,62,-0.057733916222036594,9.776679651704237,-0.06870218517976229,9.834413567926273,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
train,bybit300_hybrid,120,62,0.05686434341476281,11.448532529303579,-0.13167064255628122,11.391668185888816,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,bybit300_hybrid,300,62,0.10651936921128181,35.318488788251244,-0.040000278619562485,35.21196941903996,9147121.011975484,True,110224,59926898,136859184083.33763,567121502.74248,136292062580.59515
train,bybit_long_hybrid,30,62,-0.057733916222036594,9.776679651704237,-0.06870218517976229,9.834413567926273,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
train,bybit_long_hybrid,120,62,0.05686434341476281,36.86871027866628,-0.09631251068984935,36.81184593525151,9147121.011975484,True,110224,59926898,136859184083.33763,567121502.74248,136292062580.59515
train,bybit_long_hybrid,300,62,0.10651936921128181,35.318488788251244,-0.040000278619562485,35.21196941903996,9147121.011975484,True,110224,59926898,136859184083.33763,567121502.74248,136292062580.59515
train,current_hybrid,30,62,-0.057733916222036594,9.776679651704237,-0.06870218517976229,9.834413567926273,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
train,current_hybrid,120,62,0.05686434341476281,11.448532529303579,-0.13167064255628122,11.391668185888816,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,current_hybrid,300,62,0.10651936921128181,12.053139706041685,-0.0912002150367713,11.946620336830403,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,eth100_btc50_bybit300,30,62,-0.057733916222036594,25.617884095855395,-0.06302340606900642,25.675618012077432,454658.8805379032,False,6381,60030741,136859184083.33763,28188850.59335,136830995232.74428
train,eth100_btc50_bybit300,120,62,0.05686434341476281,11.448532529303579,-0.13167064255628122,11.391668185888816,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,eth100_btc50_bybit300,300,62,0.10651936921128181,35.318488788251244,-0.040000278619562485,35.21196941903996,9147121.011975484,True,110224,59926898,136859184083.33763,567121502.74248,136292062580.59515
train,eth100_btc50_bybit_long,30,62,-0.057733916222036594,25.617884095855395,-0.06302340606900642,25.675618012077432,454658.8805379032,False,6381,60030741,136859184083.33763,28188850.59335,136830995232.74428
train,eth100_btc50_bybit_long,120,62,0.05686434341476281,36.86871027866628,-0.09631251068984935,36.81184593525151,9147121.011975484,True,110224,59926898,136859184083.33763,567121502.74248,136292062580.59515
train,eth100_btc50_bybit_long,300,62,0.10651936921128181,35.318488788251244,-0.040000278619562485,35.21196941903996,9147121.011975484,True,110224,59926898,136859184083.33763,567121502.74248,136292062580.59515
train,eth100_btc50_hybrid,30,62,-0.057733916222036594,25.617884095855395,-0.06302340606900642,25.675618012077432,454658.8805379032,False,6381,60030741,136859184083.33763,28188850.59335,136830995232.74428
train,eth100_btc50_hybrid,120,62,0.05686434341476281,11.448532529303579,-0.13167064255628122,11.391668185888816,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,eth100_btc50_hybrid,300,62,0.10651936921128181,12.053139706041685,-0.0912002150367713,11.946620336830403,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,eth100_btc50_liq2_120_bybit300,30,62,-0.057733916222036594,25.617884095855395,-0.06302340606900642,25.675618012077432,454658.8805379032,False,6381,60030741,136859184083.33763,28188850.59335,136830995232.74428
train,eth100_btc50_liq2_120_bybit300,120,62,0.05686434341476281,30.008747585017957,-0.010343339068323658,29.951883241603195,4942010.237175484,True,58007,59979115,136859184083.33763,306404634.70488,136552779448.63275
train,eth100_btc50_liq2_120_bybit300,300,62,0.10651936921128181,35.318488788251244,-0.040000278619562485,35.21196941903996,9147121.011975484,True,110224,59926898,136859184083.33763,567121502.74248,136292062580.59515
train,eth100_btc50_liq2_300,30,62,-0.057733916222036594,25.617884095855395,-0.06302340606900642,25.675618012077432,454658.8805379032,False,6381,60030741,136859184083.33763,28188850.59335,136830995232.74428
train,eth100_btc50_liq2_300,120,62,0.05686434341476281,11.448532529303579,-0.13167064255628122,11.391668185888816,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,eth100_btc50_liq2_300,300,62,0.10651936921128181,28.842518943978774,0.04203995335363278,28.735999574767494,4942010.237175484,True,58007,59979115,136859184083.33763,306404634.70488,136552779448.63275
train,eth100_btc50_liq2_long,30,62,-0.057733916222036594,25.617884095855395,-0.06302340606900642,25.675618012077432,454658.8805379032,False,6381,60030741,136859184083.33763,28188850.59335,136830995232.74428
train,eth100_btc50_liq2_long,120,62,0.05686434341476281,30.008747585017957,-0.010343339068323658,29.951883241603195,4942010.237175484,True,58007,59979115,136859184083.33763,306404634.70488,136552779448.63275
train,eth100_btc50_liq2_long,300,62,0.10651936921128181,28.842518943978774,0.04203995335363278,28.735999574767494,4942010.237175484,True,58007,59979115,136859184083.33763,306404634.70488,136552779448.63275
train,liq2_120_bybit300_hybrid,30,62,-0.057733916222036594,9.776679651704237,-0.06870218517976229,9.834413567926273,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
train,liq2_120_bybit300_hybrid,120,62,0.05686434341476281,30.008747585017957,-0.010343339068323658,29.951883241603195,4942010.237175484,True,58007,59979115,136859184083.33763,306404634.70488,136552779448.63275
train,liq2_120_bybit300_hybrid,300,62,0.10651936921128181,35.318488788251244,-0.040000278619562485,35.21196941903996,9147121.011975484,True,110224,59926898,136859184083.33763,567121502.74248,136292062580.59515
train,liq2_300_hybrid,30,62,-0.057733916222036594,9.776679651704237,-0.06870218517976229,9.834413567926273,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
train,liq2_300_hybrid,120,62,0.05686434341476281,11.448532529303579,-0.13167064255628122,11.391668185888816,35938341.478996776,True,494023,59543099,136859184083.33763,2228177171.6978,134631006911.63983
train,liq2_300_hybrid,300,62,0.10651936921128181,28.842518943978774,0.04203995335363278,28.735999574767494,4942010.237175484,True,58007,59979115,136859184083.33763,306404634.70488,136552779448.63275
train,liq2_long_hybrid,30,62,-0.057733916222036594,9.776679651704237,-0.06870218517976229,9.834413567926273,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
train,liq2_long_hybrid,120,62,0.05686434341476281,30.008747585017957,-0.010343339068323658,29.951883241603195,4942010.237175484,True,58007,59979115,136859184083.33763,306404634.70488,136552779448.63275
train,liq2_long_hybrid,300,62,0.10651936921128181,28.842518943978774,0.04203995335363278,28.735999574767494,4942010.237175484,True,58007,59979115,136859184083.33763,306404634.70488,136552779448.63275
train,negret120_bybit300,30,62,-0.057733916222036594,9.776679651704237,-0.06870218517976229,9.834413567926273,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
train,negret120_bybit300,120,62,0.05686434341476281,-13.178113792182213,0.1460815796559612,-13.234978135596975,14780530.791845001,True,309606,59727516,136859184083.33763,916392909.09439,135942791174.24324
train,negret120_bybit300,300,62,0.10651936921128181,35.318488788251244,-0.040000278619562485,35.21196941903996,9147121.011975484,True,110224,59926898,136859184083.33763,567121502.74248,136292062580.59515
train,negret120_liq2_300,30,62,-0.057733916222036594,9.776679651704237,-0.06870218517976229,9.834413567926273,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
train,negret120_liq2_300,120,62,0.05686434341476281,-13.178113792182213,0.1460815796559612,-13.234978135596975,14780530.791845001,True,309606,59727516,136859184083.33763,916392909.09439,135942791174.24324
train,negret120_liq2_300,300,62,0.10651936921128181,28.842518943978774,0.04203995335363278,28.735999574767494,4942010.237175484,True,58007,59979115,136859184083.33763,306404634.70488,136552779448.63275
train,ret30_long_hybrid,30,62,-0.057733916222036594,9.776679651704237,-0.06870218517976229,9.834413567926273,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
train,ret30_long_hybrid,120,62,0.05686434341476281,21.774743899786934,-0.18013994772366224,21.71787955637217,23829082.590860322,True,417920,59619202,136859184083.33763,1477403120.63334,135381780962.70428
train,ret30_long_hybrid,300,62,0.10651936921128181,26.545202997166815,-0.18200242020246304,26.438683627955534,23829082.590860322,True,417920,59619202,136859184083.33763,1477403120.63334,135381780962.70428
train,ret5_all,30,62,-0.057733916222036594,9.776679651704237,-0.06870218517976229,9.834413567926273,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
train,ret5_all,120,62,0.05686434341476281,36.33639304944739,0.016401978703452072,36.27952870603262,2459165.6520448383,True,42077,59995045,136859184083.33763,152468270.42678,136706715812.91084
