split,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
train,30,62,-0.06964367756812294,4.48806025082924,-0.1445760662077917,4.557703928397363,356854429.9756768,True,4941232,595429397,1367859252550.1387,22124974658.49196,1345734277891.6467
train,120,62,0.05522848633241042,11.80261168195607,-0.13790812300919594,11.747383195623659,356854429.9756768,True,4941232,595429397,1367859252550.1387,22124974658.49196,1345734277891.6467
train,300,62,0.10659503900076729,12.470397276181004,-0.09667600467717637,12.363802237180236,356854429.9756768,True,4941232,595429397,1367859252550.1387,22124974658.49196,1345734277891.6467
validation,30,28,-0.046403950629889626,6.980599501722549,-0.13839589527080035,7.027003452352438,351079240.5124725,True,3010082,504402188,760732716265.9829,9830218734.34923,750902497531.6337
validation,120,28,-0.03259769448034573,11.523164791242957,-0.18387655325396668,11.555762485723303,351079240.5124725,True,3010082,504402188,760732716265.9829,9830218734.34923,750902497531.6337
validation,300,28,0.024514989647874772,12.607651989617036,-0.14021343978283013,12.583136999969161,351079240.5124725,True,3010082,504402188,760732716265.9829,9830218734.34923,750902497531.6337
