horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
30,179,-0.07808010955537584,3.691237748802542,-0.12988339524092524,3.7693178583579177,319842737.5909559,True,14289582,2160196397,4223018902864.809,57251850028.78111,4165767052836.028
120,179,-0.015250370232945891,7.14318058039856,-0.1136317279320818,7.158430950631506,319842737.5909559,True,14289582,2160194122,4223014803618.712,57251850028.78111,4165762953589.931
300,179,0.035241709561487075,8.016060635643901,-0.07444244543039208,7.9808189260824145,319842737.5909559,True,14289582,2160187740,4223000752381.7026,57251850028.78111,4165748902352.9214
