model,horizon_s,feature,coef_on_scaled_feature,abs_coef
ridge_classifier_positive,30,side_aware_return_30s,0.04859146848320961,0.04859146848320961
ridge_classifier_positive,30,side_aware_book_imbalance,-0.026553167030215263,0.026553167030215263
ridge_classifier_positive,30,log_notional,-0.0198195893317461,0.0198195893317461
ridge_classifier_positive,30,side_aware_return_5s,0.018154237419366837,0.018154237419366837
ridge_classifier_positive,30,side_aware_return_1s,-0.007363148499280214,0.007363148499280214
ridge_classifier_positive,30,is_btc,0.0069895475171506405,0.0069895475171506405
ridge_classifier_positive,30,side_aware_liq_total_2s,-0.004315901082009077,0.004315901082009077
ridge_classifier_positive,30,side_aware_bybit_liq_5s,0.004302881192415953,0.004302881192415953
ridge_classifier_positive,30,side_aware_neg_trade_flow_5s,-0.0028460959438234568,0.0028460959438234568
ridge_classifier_positive,30,side_aware_liq_total_1s,0.002526237629354,0.002526237629354
ridge_classifier_positive,30,spread_bps,0.0020924624986946583,0.0020924624986946583
ridge_classifier_positive,30,side_aware_neg_trade_flow_1s,0.00084910006262362,0.00084910006262362
ridge_classifier_positive,120,side_aware_return_30s,0.04835883155465126,0.04835883155465126
ridge_classifier_positive,120,side_aware_return_5s,0.015253319405019283,0.015253319405019283
ridge_classifier_positive,120,side_aware_book_imbalance,-0.01485290564596653,0.01485290564596653
ridge_classifier_positive,120,side_aware_return_1s,-0.00901846494525671,0.00901846494525671
ridge_classifier_positive,120,side_aware_bybit_liq_5s,0.008436811156570911,0.008436811156570911
ridge_classifier_positive,120,is_btc,0.0037775738164782524,0.0037775738164782524
ridge_classifier_positive,120,side_aware_neg_trade_flow_5s,-0.002938316436484456,0.002938316436484456
ridge_classifier_positive,120,log_notional,-0.0022412026301026344,0.0022412026301026344
ridge_classifier_positive,120,side_aware_liq_total_1s,-0.0021044404711574316,0.0021044404711574316
ridge_classifier_positive,120,spread_bps,0.0013124095275998116,0.0013124095275998116
ridge_classifier_positive,120,side_aware_liq_total_2s,-0.0012354400241747499,0.0012354400241747499
ridge_classifier_positive,120,side_aware_neg_trade_flow_1s,-0.0007955899345688522,0.0007955899345688522
ridge_classifier_positive,300,side_aware_return_30s,0.039647314697504044,0.039647314697504044
