model,split,horizon_s,keep_fraction,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_rows,filtered_rows
hgb_regressor,train,30,0.001,21,-0.1473553329706192,48.18715286254883,-0.28535953164100647,48.33450819551945,12859.465773809523,False,41,40611
hgb_regressor,train,30,0.002,21,-0.1473553329706192,45.11959457397461,-0.36494749784469604,45.26694990694523,21607.559523809523,False,82,40570
hgb_regressor,train,30,0.005,21,-0.1473553329706192,29.409717559814453,-0.49574679136276245,29.557072892785072,52619.07142857143,False,204,40448
hgb_regressor,train,30,0.01,21,-0.1473553329706192,22.52014923095703,-0.6093087196350098,22.66750456392765,90210.86904761905,False,407,40245
hgb_regressor,train,30,0.02,21,-0.1473553329706192,17.895572662353516,-0.7629254460334778,18.042927995324135,149013.9880952381,False,814,39838
hgb_regressor,train,30,0.05,21,-0.1473553329706192,11.557323455810547,-0.8887993097305298,11.704678788781166,269073.2619047619,False,2033,38619
hgb_regressor,train,30,0.1,21,-0.1473553329706192,6.022027492523193,-1.1338832378387451,6.169382825493813,622688.2857142857,True,4066,36586
hgb_regressor,train,30,0.2,21,-0.1473553329706192,3.164651870727539,-1.3489878177642822,3.3120072036981583,1202461.0476190476,True,8131,32521
hgb_regressor,validation,30,0.001,9,0.17726469039916992,42.30392074584961,0.04672517627477646,42.12665605545044,18116.777777777777,False,36,35840
hgb_regressor,validation,30,0.002,9,0.17726469039916992,33.496376037597656,-0.043001141399145126,33.319111347198486,38515.15277777778,False,72,35804
hgb_regressor,validation,30,0.005,9,0.17726469039916992,21.041677474975586,-0.043923672288656235,20.864412784576416,61519.9375,False,180,35696
hgb_regressor,validation,30,0.01,9,0.17726469039916992,12.499040603637695,-0.07174383103847504,12.321775913238525,116169.30555555556,False,359,35517
hgb_regressor,validation,30,0.02,9,0.17726469039916992,6.97374153137207,-0.10948653519153595,6.7964768409729,237417.94444444444,False,718,35158
hgb_regressor,validation,30,0.05,9,0.17726469039916992,3.26686954498291,-0.08543562889099121,3.0896048545837402,459575.27777777775,False,1794,34082
hgb_regressor,validation,30,0.1,9,0.17726469039916992,1.7720508575439453,-0.07516587525606155,1.5947861671447754,801426.4444444445,True,3588,32288
hgb_regressor,validation,30,0.2,9,0.17726469039916992,0.6947099566459656,-0.029897361993789673,0.5174452662467957,1676668.2222222222,True,7176,28700
hgb_regressor,train,120,0.001,21,0.13309083878993988,65.70743560791016,-0.0869629830121994,65.57434476912022,15106.58482142857,False,41,40611
hgb_regressor,train,120,0.002,21,0.13309083878993988,61.41936492919922,-0.11543664336204529,61.28627409040928,18242.313988095237,False,82,40570
hgb_regressor,train,120,0.005,21,0.13309083878993988,51.26350402832031,-0.23626716434955597,51.13041318953037,32394.291666666668,False,204,40448
hgb_regressor,train,120,0.01,21,0.13309083878993988,34.202030181884766,-0.5955267548561096,34.068939343094826,94575.16666666667,False,407,40245
hgb_regressor,train,120,0.02,21,0.13309083878993988,24.1828670501709,-0.9766557812690735,24.04977621138096,199226.7619047619,False,814,39838
hgb_regressor,train,120,0.05,21,0.13309083878993988,16.18063735961914,-1.177893042564392,16.0475465208292,341122.6666666667,False,2033,38619
hgb_regressor,train,120,0.1,21,0.13309083878993988,7.892375469207764,-1.459123134613037,7.759284630417824,769035.7142857143,True,4066,36586
hgb_regressor,train,120,0.2,21,0.13309083878993988,5.689403533935547,-1.6685497760772705,5.556312695145607,1105954.857142857,True,8131,32521
hgb_regressor,validation,120,0.001,9,1.2969409227371216,44.710960388183594,1.1975666284561157,43.41401946544647,13393.392361111111,False,36,35840
hgb_regressor,validation,120,0.002,9,1.2969409227371216,39.38934326171875,1.1895503997802734,38.09240233898163,16487.085069444445,False,72,35804
hgb_regressor,validation,120,0.005,9,1.2969409227371216,20.51826286315918,1.1280497312545776,19.221321940422058,51081.55902777778,False,180,35696
hgb_regressor,validation,120,0.01,9,1.2969409227371216,10.67515754699707,1.1656602621078491,9.378216624259949,80962.26388888889,False,359,35517
hgb_regressor,validation,120,0.02,9,1.2969409227371216,8.182188987731934,0.9562714695930481,6.885248064994812,276490.1666666667,False,718,35158
hgb_regressor,validation,120,0.05,9,1.2969409227371216,7.2298502922058105,0.6652699112892151,5.932909369468689,564317.4444444445,True,1794,34082
hgb_regressor,validation,120,0.1,9,1.2969409227371216,5.943275451660156,0.4588282108306885,4.646334528923035,896208.7777777778,True,3588,32288
hgb_regressor,validation,120,0.2,9,1.2969409227371216,2.7762293815612793,0.6555847525596619,1.4792884588241577,1773663.111111111,True,7176,28700
hgb_regressor,train,300,0.001,21,-0.49781960248947144,100.64178466796875,-0.9087352156639099,101.13960427045822,18276.65625,False,41,40611
hgb_regressor,train,300,0.002,21,-0.49781960248947144,94.26129150390625,-0.9364705085754395,94.75911110639572,20812.23363095238,False,82,40570
hgb_regressor,train,300,0.005,21,-0.49781960248947144,71.79539489746094,-1.3757038116455078,72.29321449995041,54190.60119047619,False,204,40448
hgb_regressor,train,300,0.01,21,-0.49781960248947144,55.239585876464844,-1.5612117052078247,55.737405478954315,84560.07142857143,False,407,40245
hgb_regressor,train,300,0.02,21,-0.49781960248947144,37.08329391479492,-2.065138578414917,37.58111351728439,180829.5119047619,False,814,39838
hgb_regressor,train,300,0.05,21,-0.49781960248947144,12.750102043151855,-3.829678535461426,13.247921645641327,907682.8571428572,True,2033,38619
hgb_regressor,train,300,0.1,21,-0.49781960248947144,9.441704750061035,-4.2199296951293945,9.939524352550507,1230588.380952381,True,4066,36586
hgb_regressor,train,300,0.2,21,-0.49781960248947144,7.456145286560059,-4.758704662322998,7.95396488904953,1575570.9523809524,True,8131,32521
hgb_regressor,validation,300,0.001,9,0.9605630040168762,29.3605899810791,0.8734741806983948,28.400026977062225,17928.835069444445,False,36,35840
hgb_regressor,validation,300,0.002,9,0.9605630040168762,23.201034545898438,0.8701906800270081,22.24047154188156,23733.82986111111,False,72,35804
hgb_regressor,validation,300,0.005,9,0.9605630040168762,15.099907875061035,0.7935115098953247,14.139344871044159,68479.30555555556,False,180,35696
hgb_regressor,validation,300,0.01,9,0.9605630040168762,8.864461898803711,0.8166812062263489,7.903898894786835,104850.14583333333,False,359,35517
hgb_regressor,validation,300,0.02,9,0.9605630040168762,18.375431060791016,0.3318693935871124,17.41486805677414,204341.33333333334,False,718,35158
hgb_regressor,validation,300,0.05,9,0.9605630040168762,2.3924243450164795,0.7890112400054932,1.4318613409996033,627463.8888888889,True,1794,34082
hgb_regressor,validation,300,0.1,9,0.9605630040168762,1.7746423482894897,0.7213233113288879,0.8140793442726135,1332026.0,True,3588,32288
hgb_regressor,validation,300,0.2,9,0.9605630040168762,0.6617695093154907,1.0934594869613647,-0.2987934947013855,1805437.3333333333,True,7176,28700
