date,split,symbol,rule,horizon_s,pnl_all,pnl_kept,pnl_filtered,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count
2026-02-01,validation,btcusdt,baseline_liq1s_d200_gt_100k,30,-0.3296051671913012,4.6541322633673685,-0.3734105310320733,13595179919.170898,118455839.6009,13476724079.57,28188,6731327
2026-02-01,validation,btcusdt,baseline_liq1s_d200_gt_100k,120,-0.570508366859986,-0.508469360222182,-0.5710536687134553,13595179919.170898,118455839.6009,13476724079.57,28188,6731327
2026-02-01,validation,btcusdt,baseline_liq1s_d200_gt_100k,300,0.13480203601789822,20.882917372165476,-0.04756686964260044,13595179919.170898,118455839.6009,13476724079.57,28188,6731327
2026-02-01,validation,btcusdt,liq2s_d0_gt_2m,30,-0.3296051671913012,-8.114676678624548,-0.32838948438116317,13595179919.170898,2122632.5354,13593057286.6355,395,6759120
2026-02-01,validation,btcusdt,liq2s_d0_gt_2m,120,-0.570508366859986,-14.000938333256492,-0.5684111294975631,13595179919.170898,2122632.5354,13593057286.6355,395,6759120
2026-02-01,validation,btcusdt,liq2s_d0_gt_2m,300,0.13480203601789822,-18.446792640404414,0.1377036567929809,13595179919.170898,2122632.5354,13593057286.6355,395,6759120
2026-02-01,validation,btcusdt,liq2s_d200_gt_1m,30,-0.3296051671913012,0.13556900585812,-0.3299546094145088,13595179919.170898,10205131.8988,13584974787.2721,2452,6757063
2026-02-01,validation,btcusdt,liq2s_d200_gt_1m,120,-0.570508366859986,6.486863320290194,-0.5758099158178611,13595179919.170898,10205131.8988,13584974787.2721,2452,6757063
2026-02-01,validation,btcusdt,liq2s_d200_gt_1m,300,0.13480203601789822,21.60732707078649,0.11867171898665847,13595179919.170898,10205131.8988,13584974787.2721,2452,6757063
2026-02-01,validation,btcusdt,liq2s_d200_gt_2m,30,-0.3296051671913012,-8.114676678624548,-0.32838948438116317,13595179919.170898,2122632.5354,13593057286.6355,395,6759120
2026-02-01,validation,btcusdt,liq2s_d200_gt_2m,120,-0.570508366859986,-14.000938333256492,-0.5684111294975631,13595179919.170898,2122632.5354,13593057286.6355,395,6759120
2026-02-01,validation,btcusdt,liq2s_d200_gt_2m,300,0.13480203601789822,-18.446792640404414,0.1377036567929809,13595179919.170898,2122632.5354,13593057286.6355,395,6759120
2026-02-01,validation,btcusdt,bybit5s_d0_gt_2m,30,-0.3296051671913012,,-0.3296051671913012,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,bybit5s_d0_gt_2m,120,-0.570508366859986,,-0.570508366859986,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,bybit5s_d0_gt_2m,300,0.13480203601789822,,0.13480203601789822,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,bybit5s_d200_gt_2m,30,-0.3296051671913012,,-0.3296051671913012,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,bybit5s_d200_gt_2m,120,-0.570508366859986,,-0.570508366859986,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,bybit5s_d200_gt_2m,300,0.13480203601789822,,0.13480203601789822,13595179919.170898,0.0,13595179919.170898,0,6759515
2026-02-01,validation,btcusdt,return1s_gt_20,30,-0.3296051671913012,15.31744663475184,-0.3303472900672668,13595179919.170898,644774.2135,13594535144.9574,165,6759350
2026-02-01,validation,btcusdt,return1s_gt_20,120,-0.570508366859986,24.25229061482904,-0.5716856855781051,13595179919.170898,644774.2135,13594535144.9574,165,6759350
2026-02-01,validation,btcusdt,return1s_gt_20,300,0.13480203601789822,56.21895362406552,0.13214202489251517,13595179919.170898,644774.2135,13594535144.9574,165,6759350
2026-02-01,validation,btcusdt,return5s_gt_20,30,-0.3296051671913012,4.080105878321107,-0.3508161282271868,13595179919.170898,65080547.82169999,13530099371.349201,19398,6740117
