model,horizon_s,keep_fraction,threshold,train_rows,train_auc_positive_pnl,train_average_precision,train_pnl_all,train_pnl_kept,train_score,train_kept_turnover
ridge_regressor_clip100,30,0.001,7.919702053070068,600426,0.5195887509021064,0.5205548047485538,-0.0814545527100563,11.614992141723633,11.69644669443369,2955206.75
ridge_regressor_clip100,30,0.002,5.268412113189697,600426,0.5195887509021064,0.5205548047485538,-0.0814545527100563,4.47206974029541,4.5535242930054665,5586705.0
ridge_regressor_clip100,30,0.005,3.352288246154785,600426,0.5195887509021064,0.5205548047485538,-0.0814545527100563,8.314563751220703,8.39601830393076,11876420.0
ridge_regressor_clip100,30,0.01,2.371612787246704,600426,0.5195887509021064,0.5205548047485538,-0.0814545527100563,6.471255779266357,6.552710331976414,21255488.0
ridge_regressor_clip100,30,0.02,1.6229263544082642,600426,0.5195887509021064,0.5205548047485538,-0.0814545527100563,5.279932498931885,5.361387051641941,36944896.0
ridge_regressor_clip100,30,0.05,0.9632446765899658,600426,0.5195887509021064,0.5205548047485538,-0.0814545527100563,3.383507251739502,3.4649618044495583,69509824.0
ridge_regressor_clip100,30,0.1,0.6278173923492432,600426,0.5195887509021064,0.5205548047485538,-0.0814545527100563,2.1263978481292725,2.2078524008393288,113031392.0
ridge_regressor_clip100,30,0.2,0.37588071823120117,600426,0.5195887509021064,0.5205548047485538,-0.0814545527100563,1.3230221271514893,1.4044766798615456,180536128.0
ridge_classifier_positive,30,0.001,0.515379011631012,600426,0.5339209009364868,0.529591147632007,-0.0814545527100563,10.651998519897461,10.733453072607517,2208941.75
ridge_classifier_positive,30,0.002,0.3931909501552582,600426,0.5339209009364868,0.529591147632007,-0.0814545527100563,8.7316312789917,8.813085831701756,4514459.0
ridge_classifier_positive,30,0.005,0.28836730122566223,600426,0.5339209009364868,0.529591147632007,-0.0814545527100563,9.58796215057373,9.669416703283787,8810323.0
ridge_classifier_positive,30,0.01,0.22850772738456726,600426,0.5339209009364868,0.529591147632007,-0.0814545527100563,7.000828266143799,7.082282818853855,15248271.0
ridge_classifier_positive,30,0.02,0.1779492348432541,600426,0.5339209009364868,0.529591147632007,-0.0814545527100563,5.271374702453613,5.35282925516367,28111504.0
ridge_classifier_positive,30,0.05,0.12603220343589783,600426,0.5339209009364868,0.529591147632007,-0.0814545527100563,3.059298276901245,3.1407528296113014,57697032.0
ridge_classifier_positive,30,0.1,0.09588835388422012,600426,0.5339209009364868,0.529591147632007,-0.0814545527100563,2.147019147872925,2.228473700582981,95440160.0
ridge_classifier_positive,30,0.2,0.06843970715999603,600426,0.5339209009364868,0.529591147632007,-0.0814545527100563,1.1626523733139038,1.2441069260239601,170619424.0
ridge_regressor_clip100,120,0.001,19.358720779418945,600426,0.5292772913925876,0.5279614197698859,0.14331930875778198,79.45831298828125,79.31499367952347,3102741.0
ridge_regressor_clip100,120,0.002,11.701522827148438,600426,0.5292772913925876,0.5279614197698859,0.14331930875778198,32.65794372558594,32.514624416828156,5740720.0
ridge_regressor_clip100,120,0.005,6.438972473144531,600426,0.5292772913925876,0.5279614197698859,0.14331930875778198,20.896486282348633,20.75316697359085,13489844.0
ridge_regressor_clip100,120,0.01,3.9867076873779297,600426,0.5292772913925876,0.5279614197698859,0.14331930875778198,11.550203323364258,11.406884014606476,26344806.0
ridge_regressor_clip100,120,0.02,2.450688362121582,600426,0.5292772913925876,0.5279614197698859,0.14331930875778198,7.720366477966309,7.577047169208527,48520184.0
ridge_regressor_clip100,120,0.05,1.2569215297698975,600426,0.5292772913925876,0.5279614197698859,0.14331930875778198,3.782119035720825,3.638799726963043,108127712.0
ridge_regressor_clip100,120,0.1,0.7005648016929626,600426,0.5292772913925876,0.5279614197698859,0.14331930875778198,2.454166889190674,2.310847580432892,208152880.0
ridge_regressor_clip100,120,0.2,0.29422467947006226,600426,0.5292772913925876,0.5279614197698859,0.14331930875778198,1.2333046197891235,1.0899853110313416,403083776.0
ridge_classifier_positive,120,0.001,0.49847283959388733,600426,0.5330362590675158,0.5310702763144015,0.14331930875778198,65.47940826416016,65.33608895540237,2726388.75
ridge_classifier_positive,120,0.002,0.3570432960987091,600426,0.5330362590675158,0.5310702763144015,0.14331930875778198,40.07504653930664,39.93172723054886,5293009.0
ridge_classifier_positive,120,0.005,0.25029000639915466,600426,0.5330362590675158,0.5310702763144015,0.14331930875778198,21.965206146240234,21.821886837482452,11861907.0
ridge_classifier_positive,120,0.01,0.18925578892230988,600426,0.5330362590675158,0.5310702763144015,0.14331930875778198,14.417465209960938,14.274145901203156,22752152.0
ridge_classifier_positive,120,0.02,0.13909734785556793,600426,0.5330362590675158,0.5310702763144015,0.14331930875778198,9.287721633911133,9.14440232515335,43412704.0
ridge_classifier_positive,120,0.05,0.08651542663574219,600426,0.5330362590675158,0.5310702763144015,0.14331930875778198,4.317656517028809,4.174337208271027,99954088.0
ridge_classifier_positive,120,0.1,0.057036396116018295,600426,0.5330362590675158,0.5310702763144015,0.14331930875778198,2.1707332134246826,2.0274139046669006,190879936.0
ridge_classifier_positive,120,0.2,0.03370044380426407,600426,0.5330362590675158,0.5310702763144015,0.14331930875778198,1.3515396118164062,1.2082203030586243,365827392.0
ridge_regressor_clip100,300,0.001,18.392515182495117,600426,0.5233395865449442,0.5224169005240066,0.21890582144260406,75.63594055175781,75.41703473031521,3152798.0
ridge_regressor_clip100,300,0.002,10.929615020751953,600426,0.5233395865449442,0.5224169005240066,0.21890582144260406,35.947208404541016,35.72830258309841,6063692.0
ridge_regressor_clip100,300,0.005,6.393784523010254,600426,0.5233395865449442,0.5224169005240066,0.21890582144260406,22.286937713623047,22.068031892180443,14483142.0
ridge_regressor_clip100,300,0.01,4.268327236175537,600426,0.5233395865449442,0.5224169005240066,0.21890582144260406,12.81967830657959,12.600772485136986,27648838.0
ridge_regressor_clip100,300,0.02,2.7156081199645996,600426,0.5233395865449442,0.5224169005240066,0.21890582144260406,8.1405668258667,7.921661004424095,53225716.0
ridge_regressor_clip100,300,0.05,1.3800418376922607,600426,0.5233395865449442,0.5224169005240066,0.21890582144260406,3.757690906524658,3.538785085082054,136707440.0
ridge_regressor_clip100,300,0.1,0.7160854339599609,600426,0.5233395865449442,0.5224169005240066,0.21890582144260406,1.5212678909301758,1.3023620694875717,287714560.0
ridge_regressor_clip100,300,0.2,0.2084757685661316,600426,0.5233395865449442,0.5224169005240066,0.21890582144260406,0.9642888903617859,0.7453830689191818,596456064.0
ridge_classifier_positive,300,0.001,0.40522336959838867,600426,0.5235206159972154,0.5229781025638593,0.21890582144260406,67.963134765625,67.7442289441824,3249090.5
ridge_classifier_positive,300,0.002,0.28243011236190796,600426,0.5235206159972154,0.5229781025638593,0.21890582144260406,45.66737747192383,45.448471650481224,5980361.0
ridge_classifier_positive,300,0.005,0.18267038464546204,600426,0.5235206159972154,0.5229781025638593,0.21890582144260406,24.30860710144043,24.089701279997826,14623235.0
ridge_classifier_positive,300,0.01,0.13453412055969238,600426,0.5235206159972154,0.5229781025638593,0.21890582144260406,13.714274406433105,13.495368584990501,28962774.0
ridge_classifier_positive,300,0.02,0.09299799799919128,600426,0.5235206159972154,0.5229781025638593,0.21890582144260406,7.416855335235596,7.197949513792992,56757808.0
ridge_classifier_positive,300,0.05,0.051007770001888275,600426,0.5235206159972154,0.5229781025638593,0.21890582144260406,3.4508912563323975,3.2319854348897934,145506272.0
ridge_classifier_positive,300,0.1,0.028274215757846832,600426,0.5235206159972154,0.5229781025638593,0.21890582144260406,1.7204833030700684,1.5015774816274643,310145600.0
ridge_classifier_positive,300,0.2,0.01084132306277752,600426,0.5235206159972154,0.5229781025638593,0.21890582144260406,0.9800213575363159,0.7611155360937119,639669632.0
