horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
30,179,-0.07808010955537584,19.98419593586573,-0.10520363097628478,20.062276045421108,31852909.71215687,True,1730760,2172755219,4223018902864.809,5701670838.47608,4217317232026.333
120,179,-0.015250370232945891,7.14318058039856,-0.1136317279320818,7.158430950631506,319842737.5909559,True,14289582,2160194122,4223014803618.712,57251850028.78111,4165762953589.931
300,179,0.035241709561487075,8.016060635643901,-0.07444244543039208,7.9808189260824145,319842737.5909559,True,14289582,2160187740,4223000752381.7026,57251850028.78111,4165748902352.9214
