split,variant,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
public_extra,baseline_liq,30,59,-0.10720305501856524,-0.32721294758197766,-0.10467589657396041,-0.2200098925634124,23428876.163747285,True,381566,64751914,121723190028.52669,1382303693.66109,120340886334.8656
public_extra,baseline_liq,120,59,-0.09027019170307514,-0.9408551910221221,-0.08049986897008896,-0.850584999319047,23428876.163747285,True,381566,64751687,121722933012.06209,1382303693.66109,120340629318.401
public_extra,baseline_liq,300,59,-0.065627937612446,-2.30589503470411,-0.039894534055227825,-2.240267097091664,23428876.163747285,True,381566,64751049,121721203917.70801,1382303693.66109,120338900224.0469
public_extra,current_hybrid,30,59,-0.10720305501856524,-3.0811701480253126,-0.1040351770784165,-2.973967093006747,2195286.6143315253,True,35136,65098344,121723190028.52669,129521910.24556,121593668118.28113
public_extra,current_hybrid,120,59,-0.09027019170307514,-0.9408551910221221,-0.08049986897008896,-0.850584999319047,23428876.163747285,True,381566,64751687,121722933012.06209,1382303693.66109,120340629318.401
public_extra,current_hybrid,300,59,-0.065627937612446,-2.30589503470411,-0.039894534055227825,-2.240267097091664,23428876.163747285,True,381566,64751049,121721203917.70801,1382303693.66109,120338900224.0469
public_extra,eth100_btc50_bybit_long,30,59,-0.10720305501856524,6.727266851460601,-0.10891789561009406,6.834469906479166,517524.933129661,True,6063,65127417,121723190028.52669,30533971.05465,121692656057.47205
public_extra,eth100_btc50_bybit_long,120,59,-0.09027019170307514,-9.437683751095715,-0.07449561737779434,-9.34741355939264,3475796.1339666103,True,47073,65086180,121722933012.06209,205071971.90403,121517861040.15807
public_extra,eth100_btc50_bybit_long,300,59,-0.065627937612446,-18.553173989787652,-0.03442814986511184,-18.487546052175205,3475796.1339666103,True,47073,65085542,121721203917.70801,205071971.90403,121516131945.80397
public_extra,eth100_btc50_liq2_120_bybit300,30,59,-0.10720305501856524,6.727266851460601,-0.10891789561009406,6.834469906479166,517524.933129661,True,6063,65127417,121723190028.52669,30533971.05465,121692656057.47205
public_extra,eth100_btc50_liq2_120_bybit300,120,59,-0.09027019170307514,4.569775771691601,-0.09537670965777044,4.660045963394676,2258288.4678866104,True,29933,65103320,121722933012.06209,133239019.60531001,121589693992.45679
public_extra,eth100_btc50_liq2_120_bybit300,300,59,-0.065627937612446,-18.553173989787652,-0.03442814986511184,-18.487546052175205,3475796.1339666103,True,47073,65085542,121721203917.70801,205071971.90403,121516131945.80397
public_extra,ret5_all,30,59,-0.10720305501856524,-3.0811701480253126,-0.1040351770784165,-2.973967093006747,2195286.6143315253,True,35136,65098344,121723190028.52669,129521910.24556,121593668118.28113
public_extra,ret5_all,120,59,-0.09027019170307514,-9.91708871046706,-0.07980261542033572,-9.826818518763986,2195286.6143315253,True,35136,65098117,121722933012.06209,129521910.24556,121593411101.81653
public_extra,ret5_all,300,59,-0.065627937612446,-19.87037407951719,-0.04453152287520717,-19.804746141904744,2195286.6143315253,True,35136,65097479,121721203917.70801,129521910.24556,121591682007.46245
train,baseline_liq,30,92,-0.0702427576631845,4.188862989493433,-0.13518101930103307,4.259105747156617,36640224.68056489,True,746131,100827895,224458161973.7341,3370900670.61197,221087261303.12213
train,baseline_liq,120,92,0.023575801819424515,8.76442725174636,-0.1096952959390343,8.740851449926936,36640224.68056489,True,746131,100827895,224458161973.7341,3370900670.61197,221087261303.12213
train,baseline_liq,300,92,0.08925486431821807,10.495030746431354,-0.06940120972469506,10.405775882113137,36640224.68056489,True,746131,100827895,224458161973.7341,3370900670.61197,221087261303.12213
train,current_hybrid,30,92,-0.0702427576631845,8.590663811016135,-0.07813183402209752,8.66090656867932,2220316.9246338042,True,51537,101522489,224458161973.7341,204269157.06631,224253892816.66782
train,current_hybrid,120,92,0.023575801819424515,8.76442725174636,-0.1096952959390343,8.740851449926936,36640224.68056489,True,746131,100827895,224458161973.7341,3370900670.61197,221087261303.12213
train,current_hybrid,300,92,0.08925486431821807,10.495030746431354,-0.06940120972469506,10.405775882113137,36640224.68056489,True,746131,100827895,224458161973.7341,3370900670.61197,221087261303.12213
train,eth100_btc50_bybit_long,30,92,-0.0702427576631845,12.875758648990285,-0.07333330828858144,12.946001406653469,582296.4225834783,True,9752,101564274,224458161973.7341,53571270.87768,224404590702.85645
