date,symbol,horizon_s,strategy,pnl_all,pnl_kept,pnl_filtered,score,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count,split,all_weighted_pnl_sum,kept_weighted_pnl_sum,filtered_weighted_pnl_sum
2025-12-01,btcusdt,30,synthetic_maker_q90_30s_60s,0.025823717273245297,0.0035216757281563388,0.42783632479083106,-0.022302041545088958,23084398443.0136,21871079001.2815,1213319441.7320995,5552184,365174,train,596124978.8153272,77022848.06740284,519102130.7479243
2025-12-01,btcusdt,120,synthetic_maker_q90_30s_60s,-0.1696298313137473,-0.2572741943422684,1.4102317631541557,-0.0876443630285211,23084398443.0136,21871079001.2815,1213319441.7320995,5552184,365174,train,-3915802613.8677273,-5626864229.450803,1711061615.5830746
2025-12-01,btcusdt,300,synthetic_maker_q90_30s_60s,-0.4101264276152537,-0.7807973232118108,6.271520764565885,-0.37067089559655714,23084398443.0136,21871079001.2815,1213319441.7320995,5552184,365174,train,-9467521867.080292,-17076879939.954641,7609358072.87435
2025-12-01,ethusdt,30,synthetic_maker_q90_30s_60s,0.6900913885137601,0.6971290109510392,0.5770686457026518,0.007037622437279123,17668497026.029182,16632816259.556982,1035680766.4721999,8704107,603913,train,12192877645.643719,11595218748.355322,597658897.2883968
2025-12-01,ethusdt,120,synthetic_maker_q90_30s_60s,0.8551952485310531,0.8204853292860483,1.412629284071504,-0.03470991924500477,17668497026.029182,16632816259.556982,1035680766.4721999,8704107,603913,train,15110014705.3452,13646981725.676949,1463032979.6682503
2025-12-01,ethusdt,300,synthetic_maker_q90_30s_60s,0.1843434470864685,-0.16097350653512502,5.730061420069696,-0.34531695362159354,17668497026.029182,16632816259.556982,1035680766.4721999,8704107,603913,train,3257071646.6152363,-2677442756.8553295,5934514403.470566
2025-12-02,btcusdt,30,synthetic_maker_q90_30s_60s,0.0510315669818101,0.07178536683018302,-0.4131865793975945,0.020753799848372924,18647536756.4074,17849537514.352497,797999242.0549002,4624994,227067,train,951613021.03037,1281335598.2169073,-329722577.18653727
2025-12-02,btcusdt,120,synthetic_maker_q90_30s_60s,0.250936291124896,0.2893005341135001,-0.6071898302376503,0.03836424298860408,18647536756.4074,17849537514.352497,797999242.0549002,4624994,227067,train,4679343712.268046,5163880736.581134,-484537024.3130884
2025-12-02,btcusdt,300,synthetic_maker_q90_30s_60s,-0.0255852898748402,-0.11745508413633507,2.02934565828461,-0.09186979426149487,18647536756.4074,17849537514.352497,797999242.0549002,4624994,227067,train,-477102633.3644207,-2096518930.5429418,1619416297.1785214
2025-12-02,ethusdt,30,synthetic_maker_q90_30s_60s,0.1882547218675244,0.1932243528691242,0.0694535231260106,0.004969631001599806,13899909242.75878,13341801811.18053,558107431.5782499,7121026,336499,train,2616723548.479386,2577961021.0734673,38762527.40591836
2025-12-02,ethusdt,120,synthetic_maker_q90_30s_60s,0.0321671102297127,0.059474383944384444,-0.6206251897662588,0.027307273714671745,13899909242.75878,13341801811.18053,558107431.5782499,7121026,336499,train,447119912.794824,793495443.4280347,-346375530.63321066
2025-12-02,ethusdt,300,synthetic_maker_q90_30s_60s,-0.1329075629702041,0.0528110367234274,-4.572591769925616,0.1857185996936315,13899909242.75878,13341801811.18053,558107431.5782499,7121026,336499,train,-1847403062.9620843,704594385.4069452,-2551997448.3690295
2025-12-03,btcusdt,30,synthetic_maker_q90_30s_60s,-0.0861875433727873,-0.1749253851169678,1.9665125329748103,-0.0887378417441805,17083045254.2078,16375150547.8194,707894706.3884001,4772253,214611,train,-1472345703.786323,-2864429515.9256353,1392083812.1393123
2025-12-03,btcusdt,120,synthetic_maker_q90_30s_60s,0.0722233416811517,0.10596314726953893,-0.7082520467883625,0.033739805588387226,17083045254.2078,16375150547.8194,707894706.3884001,4772253,214611,train,1233794614.349227,1735162489.0594583,-501367874.71023124
2025-12-03,btcusdt,300,synthetic_maker_q90_30s_60s,0.7210239016955634,0.811670281322734,-1.3758248239894841,0.09064637962717059,17083045254.2078,16375150547.8194,707894706.3884001,4772253,214611,train,12317283942.030787,13291223051.850695,-973939109.8199081
2025-12-03,ethusdt,30,synthetic_maker_q90_30s_60s,-0.1777366175938894,-0.24863001347768665,1.4111040524936918,-0.07089339588379726,15623047708.6988,14955729414.261059,667318294.4377398,7612497,344515,train,-2776787656.2520885,-3718443205.836362,941655549.5842733
2025-12-03,ethusdt,120,synthetic_maker_q90_30s_60s,-0.2107088740122401,-0.0694859610911048,-3.375752737408536,0.14122291292113529,15623047708.6988,14955729414.261059,667318294.4377398,7612497,344515,train,-3291914791.3394313,-1039213232.1684356,-2252701559.1709957
2025-12-03,ethusdt,300,synthetic_maker_q90_30s_60s,0.12103533689293582,0.48979517341463286,-8.143495067615845,0.368759836521697,15623047708.6988,14955729414.261059,667318294.4377398,7612497,344515,train,1890940842.716768,7325244082.00032,-5434303239.283553
2025-12-04,btcusdt,30,synthetic_maker_q90_30s_60s,-0.277944484374133,-0.179966340579834,-2.7104202267224755,0.097978143794299,12734406440.3688,12241335409.838598,493071030.5302001,3761032,141424,train,-3539458031.8789444,-2203028337.518995,-1336429694.3599496
2025-12-04,btcusdt,120,synthetic_maker_q90_30s_60s,-0.3903172811647167,-0.15924625854892915,-6.127052388665635,0.23107102261578755,12734406440.3688,12241335409.838598,493071030.5302001,3761032,141424,train,-4970458899.051208,-1949386863.659319,-3021072035.3918886
2025-12-04,btcusdt,300,synthetic_maker_q90_30s_60s,-0.264996755493728,-0.07455680404779343,-4.992995718597029,0.19043995144593456,12734406440.3688,12241335409.838598,493071030.5302001,3761032,141424,train,-3374576389.8361654,-912674845.4346514,-2461901544.401514
2025-12-04,ethusdt,30,synthetic_maker_q90_30s_60s,-0.0688506708782295,-0.02686109945625466,-0.9859476337195269,0.04198957142197485,14691893578.95238,14048670790.686089,643222788.26629,6816558,319398,train,-1011546729.3824236,-377362743.3367988,-634183986.0456249
2025-12-04,ethusdt,120,synthetic_maker_q90_30s_60s,0.0565337631268303,0.15849554038861713,-2.1704200514993555,0.10196177726178683,14691893578.95238,14048670790.686089,643222788.26629,6816558,319398,train,830588031.4770929,2226651668.7115726,-1396063637.2344801
2025-12-04,ethusdt,300,synthetic_maker_q90_30s_60s,-0.2072815661397804,-0.25154815693050514,0.7595479249625328,-0.04426659079072473,14691893578.95238,14048670790.686089,643222788.26629,6816558,319398,train,-3045358710.604233,-3533917244.720508,488558534.1162751
2025-12-05,btcusdt,30,synthetic_maker_q90_30s_60s,0.10900737013848968,0.03470640237084603,1.861164690660532,-0.07430096776764365,14779615610.8184,14178375631.6969,601239979.1214998,3942588,173024,train,1611087029.3930817,492080409.63867086,1119006619.7544107
2025-12-05,btcusdt,120,synthetic_maker_q90_30s_60s,0.1775151561726784,0.1454909722996148,0.932705968523948,-0.032024183873063605,14779615610.8184,14178375631.6969,601239979.1214998,3942588,173024,train,2623605773.326584,2062825656.2847471,560780117.0418367
2025-12-05,btcusdt,300,synthetic_maker_q90_30s_60s,0.2901203365832086,0.1848607966936023,2.7723393293305834,-0.10525953988960632,14779615610.8184,14178375631.6969,601239979.1214998,3942588,173024,train,4287867055.5810785,2621025815.096646,1666841240.4844327
2025-12-05,ethusdt,30,synthetic_maker_q90_30s_60s,0.3413098518131935,0.3960453990892678,-0.8898480312499671,0.05473554727607427,15472618635.1133,14814008653.28651,658609981.8267899,7149091,372040,train,5280957173.512577,5867019969.202723,-586062795.6901456
2025-12-05,ethusdt,120,synthetic_maker_q90_30s_60s,0.1862633883487474,0.10483062785867932,2.0179174049107638,-0.08143276049006808,15472618635.1133,14814008653.28651,658609981.8267899,7149091,372040,train,2881982373.6041746,1552961828.2279334,1329020545.376241
2025-12-05,ethusdt,300,synthetic_maker_q90_30s_60s,0.1515721760056285,-0.130547787123748,6.497251243108792,-0.2821199631293765,15472618635.1133,14814008653.28651,658609981.8267899,7149091,372040,train,2345218475.029361,-1933936048.1186082,4279154523.1479692
