strategy,split,horizon_s,days,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,positive_symbol_day_rate
synthetic_maker_q90_30s_60s,train,30,62.0,1367859252550.1387,1313032266916.3162,54826985633.82248,-0.06964367756812292,-0.05796646296951036,-0.3492971981553645,0.011677214598612567,21177939788.972843,0.5806451612903226
synthetic_maker_q90_30s_60s,train,120,62.0,1367859252550.1387,1313032266916.3162,54826985633.82248,0.055228486332410405,0.054870277993915174,0.06380709231056915,-0.0003582083384952306,21177939788.972843,0.5967741935483871
synthetic_maker_q90_30s_60s,train,300,62.0,1367859252550.1387,1313032266916.3162,54826985633.82248,0.10659503900076729,0.08888740719786715,0.5306689080835532,-0.017707631802900137,21177939788.972843,0.6048387096774194
synthetic_maker_q90_30s_60s,validation,30,28.0,760732716265.9829,722086937781.1335,38645778484.8495,-0.04640395062988962,-0.07369179874054115,0.46346283051366544,-0.027287848110651526,25788819206.469055,0.5
synthetic_maker_q90_30s_60s,validation,120,28.0,760732716265.9829,722086937781.1335,38645778484.8495,-0.03259769448034572,-0.08255810442885583,0.9009003703639864,-0.049960409948510115,25788819206.469055,0.44642857142857145
synthetic_maker_q90_30s_60s,validation,300,28.0,760732716265.9829,722086937781.1335,38645778484.8495,0.024514989647874786,0.03491201413703483,-0.1697508750792713,0.010397024489160047,25788819206.469055,0.5535714285714286
synthetic_maker_q95_30s_60s,train,30,62.0,1367859252550.1387,1323422783278.6057,44436469271.53294,-0.06964367756812292,-0.06431675284488783,-0.22829205038237974,0.005326924723235094,21345528762.558155,0.5967741935483871
synthetic_maker_q95_30s_60s,train,120,62.0,1367859252550.1387,1323422783278.6057,44436469271.53294,0.055228486332410405,0.04688091233318336,0.30383891368601645,-0.008347573999227045,21345528762.558155,0.6209677419354839
synthetic_maker_q95_30s_60s,train,300,62.0,1367859252550.1387,1323422783278.6057,44436469271.53294,0.10659503900076729,0.07118254318971144,1.161262624823856,-0.03541249581105585,21345528762.558155,0.6129032258064516
synthetic_maker_q95_30s_60s,validation,30,28.0,760732716265.9829,730906899053.8062,29825817212.17684,-0.04640395062988962,-0.05635525461503872,0.19746117754361864,-0.009951303985149103,26103817823.35022,0.42857142857142855
synthetic_maker_q95_30s_60s,validation,120,28.0,760732716265.9829,730906899053.8062,29825817212.17684,-0.03259769448034572,-0.04550555861840041,0.283720443039173,-0.01290786413805469,26103817823.35022,0.48214285714285715
synthetic_maker_q95_30s_60s,validation,300,28.0,760732716265.9829,730906899053.8062,29825817212.17684,0.024514989647874786,0.04189758888697288,-0.4014603194932672,0.01738259923909809,26103817823.35022,0.5535714285714286
synthetic_maker_q99_30s_60s,train,30,62.0,1367859252550.1387,1346988918904.574,20870333645.5649,-0.06964367756812292,-0.07412053330616024,0.2192963639799011,-0.004476855738037314,21725627724.267323,0.47580645161290325
synthetic_maker_q99_30s_60s,train,120,62.0,1367859252550.1387,1346988918904.574,20870333645.5649,0.055228486332410405,0.04767290800445838,0.5428718779764943,-0.007555578327952027,21725627724.267323,0.5645161290322581
synthetic_maker_q99_30s_60s,train,300,62.0,1367859252550.1387,1346988918904.574,20870333645.5649,0.10659503900076729,0.08931624790088181,1.2217827757602446,-0.017278791099885477,21725627724.267323,0.5887096774193549
synthetic_maker_q99_30s_60s,validation,30,28.0,760732716265.9829,749056647578.5591,11676068687.423752,-0.04640395062988962,-0.042298785207852,-0.30976326540498733,0.004105165422037621,26752023127.805683,0.5
synthetic_maker_q99_30s_60s,validation,120,28.0,760732716265.9829,749056647578.5591,11676068687.423752,-0.03259769448034572,-0.03925201616239304,0.394298037679264,-0.006654321682047319,26752023127.805683,0.5357142857142857
synthetic_maker_q99_30s_60s,validation,300,28.0,760732716265.9829,749056647578.5591,11676068687.423752,0.024514989647874786,0.015010318535666157,0.63426963140638,-0.009504671112208629,26752023127.805683,0.5178571428571429
