source,q,threshold
both,0.85,9513.910919999998
both,0.9,16683.840240000027
both,0.95,38930.04268999998
both,0.97,68565.84599999998
both,0.99,196942.8612460001
binance,0.85,8696.488251500003
binance,0.9,14986.514249999998
binance,0.95,34801.317240000004
binance,0.97,61131.97497699991
binance,0.99,162945.2230606012
bybit,0.85,9988.992
bybit,0.9,17783.0177
bybit,0.95,41464.4685
bybit,0.97,73527.3696
bybit,0.99,226963.2615200001
