strategy,split,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
adv_binance_q85_win10,train,30,7,0.030236575191214074,0.054819570720543255,-0.4471420366751231,0.02458299552932918,26611656546.823303,True,80378922,3606318,195874316413.89697,186281595827.76312,9592720586.13384
adv_binance_q85_win10,train,120,7,-0.00946338082190134,-0.056141548715748245,0.8969826609976612,-0.046678167893846906,26611656546.823303,True,80378922,3606318,195874316413.89697,186281595827.76312,9592720586.13384
adv_binance_q85_win10,train,300,7,-0.08505801517955065,-0.14266903150113233,1.0336936425260166,-0.05761101632158168,26611656546.823303,True,80378922,3606318,195874316413.89697,186281595827.76312,9592720586.13384
adv_binance_q85_win120,train,30,7,0.030236575191214074,0.022656806503860594,0.057103858331658354,-0.00757976868735348,21824843967.74319,True,66389158,17596082,195874316413.89697,152773907774.20233,43100408639.69464
adv_binance_q85_win120,train,120,7,-0.00946338082190134,-0.14753713061345977,0.47995347118600756,-0.13807374979155843,21824843967.74319,True,66389158,17596082,195874316413.89697,152773907774.20233,43100408639.69464
adv_binance_q85_win120,train,300,7,-0.08505801517955065,-0.4578504672672129,1.2363438344007505,-0.37279245208766226,21824843967.74319,True,66389158,17596082,195874316413.89697,152773907774.20233,43100408639.69464
adv_binance_q85_win20,train,30,7,0.030236575191214074,0.04412031126026961,-0.13689455365975436,0.013883736069055533,25835838422.622765,True,78214384,5770856,195874316413.89697,180850868958.35934,15023447455.5376
adv_binance_q85_win20,train,120,7,-0.00946338082190134,-0.09202538694381855,0.9844104017625634,-0.0825620061219172,25835838422.622765,True,78214384,5770856,195874316413.89697,180850868958.35934,15023447455.5376
adv_binance_q85_win20,train,300,7,-0.08505801517955065,-0.17763119106977665,1.0293293018148182,-0.092573175890226,25835838422.622765,True,78214384,5770856,195874316413.89697,180850868958.35934,15023447455.5376
adv_binance_q85_win30,train,30,7,0.030236575191214074,0.022512350174083606,0.10063815733501329,-0.007724225017130468,25215486731.30697,True,76453793,7531447,195874316413.89697,176508407119.14877,19365909294.74818
adv_binance_q85_win30,train,120,7,-0.00946338082190134,-0.1497654120156137,1.2693037384839367,-0.14030203119371235,25215486731.30697,True,76453793,7531447,195874316413.89697,176508407119.14877,19365909294.74818
adv_binance_q85_win30,train,300,7,-0.08505801517955065,-0.23843114057369097,1.3128441254416856,-0.15337312539414033,25215486731.30697,True,76453793,7531447,195874316413.89697,176508407119.14877,19365909294.74818
adv_binance_q85_win45,train,30,7,0.030236575191214074,0.015364694492880823,0.13331743181363076,-0.014871880698333251,24453974150.885674,True,74236674,9748566,195874316413.89697,171177819056.1997,24696497357.69727
adv_binance_q85_win45,train,120,7,-0.00946338082190134,-0.14914515677491635,0.9587071829314059,-0.139681775953015,24453974150.885674,True,74236674,9748566,195874316413.89697,171177819056.1997,24696497357.69727
adv_binance_q85_win45,train,300,7,-0.08505801517955065,-0.2682227159597987,1.1845039617083222,-0.18316470078024805,24453974150.885674,True,74236674,9748566,195874316413.89697,171177819056.1997,24696497357.69727
adv_binance_q85_win60,train,30,7,0.030236575191214074,0.03404088513632877,0.008594885664180272,0.0038043099451146936,23798583162.576,True,72304368,11680872,195874316413.89697,166590082138.032,29284234275.86494
adv_binance_q85_win60,train,120,7,-0.00946338082190134,-0.11490172036573883,0.5903467927902548,-0.10543833954383748,23798583162.576,True,72304368,11680872,195874316413.89697,166590082138.032,29284234275.86494
adv_binance_q85_win60,train,300,7,-0.08505801517955065,-0.2854015193578866,1.0546419511056144,-0.20034350417833596,23798583162.576,True,72304368,11680872,195874316413.89697,166590082138.032,29284234275.86494
adv_binance_q85_win90,train,30,7,0.030236575191214074,0.04045863032518813,-0.013950362878471699,0.010222055133974055,22724936184.264893,True,69111422,14873818,195874316413.89697,159074553289.85425,36799763124.042725
adv_binance_q85_win90,train,120,7,-0.00946338082190134,-0.10343325341781166,0.3967407421642246,-0.09396987259591032,22724936184.264893,True,69111422,14873818,195874316413.89697,159074553289.85425,36799763124.042725
adv_binance_q85_win90,train,300,7,-0.08505801517955065,-0.3666431375427005,1.1321516554914535,-0.28158512236314986,22724936184.264893,True,69111422,14873818,195874316413.89697,159074553289.85425,36799763124.042725
adv_binance_q90_win10,train,30,7,0.030236575191214074,0.050544535815074246,-0.5087563479314999,0.020307960623860172,26966029871.685036,True,81336797,2648443,195874316413.89697,188762209101.79526,7112107312.10169
adv_binance_q90_win10,train,120,7,-0.00946338082190134,-0.047590594760161004,1.0024697655799473,-0.038127213938259664,26966029871.685036,True,81336797,2648443,195874316413.89697,188762209101.79526,7112107312.10169
adv_binance_q90_win10,train,300,7,-0.08505801517955065,-0.12842481170616235,1.0659387224684151,-0.0433667965266117,26966029871.685036,True,81336797,2648443,195874316413.89697,188762209101.79526,7112107312.10169
adv_binance_q90_win120,train,30,7,0.030236575191214074,0.001426477271454269,0.15945591416574373,-0.028810097919759806,22880682581.781746,True,69560134,14425106,195874316413.89697,160164778072.47223,35709538341.42474
adv_binance_q90_win120,train,120,7,-0.00946338082190134,-0.12488616072953883,0.5082320245810067,-0.11542277990763748,22880682581.781746,True,69560134,14425106,195874316413.89697,160164778072.47223,35709538341.42474
adv_binance_q90_win120,train,300,7,-0.08505801517955065,-0.35614179188622813,1.1308096479681875,-0.2710837767066775,22880682581.781746,True,69560134,14425106,195874316413.89697,160164778072.47223,35709538341.42474
adv_binance_q90_win20,train,30,7,0.030236575191214074,0.04328092405599846,-0.17735400675477692,0.013044348864784387,26327694468.74665,True,79568342,4416898,195874316413.89697,184293861281.22656,11580455132.67039
adv_binance_q90_win20,train,120,7,-0.00946338082190134,-0.07797763274828451,1.0808872052000325,-0.06851425192638316,26327694468.74665,True,79568342,4416898,195874316413.89697,184293861281.22656,11580455132.67039
adv_binance_q90_win20,train,300,7,-0.08505801517955065,-0.14072293975979894,0.8008056034169857,-0.055664924580248284,26327694468.74665,True,79568342,4416898,195874316413.89697,184293861281.22656,11580455132.67039
adv_binance_q90_win30,train,30,7,0.030236575191214074,0.018303282063997044,0.17226582124450973,-0.01193329312721703,25813219268.92616,True,78114270,5870970,195874316413.89697,180692534882.48312,15181781531.413849
adv_binance_q90_win30,train,120,7,-0.00946338082190134,-0.11501762533165805,1.2468360836782413,-0.1055542445097567,25813219268.92616,True,78114270,5870970,195874316413.89697,180692534882.48312,15181781531.413849
adv_binance_q90_win30,train,300,7,-0.08505801517955065,-0.17234248865431268,0.9537958726466711,-0.08728447347476202,25813219268.92616,True,78114270,5870970,195874316413.89697,180692534882.48312,15181781531.413849
