strategy,split,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
adv_binance_q99_win120,train,30,62,-0.06964367756812292,-0.03458289882511977,-1.0992589798753278,0.03506077874300315,21335715621.21971,True,582616291,17754338,1367859252550.1387,1322814368515.622,45044884034.51651
adv_binance_q99_win120,train,120,62,0.055228486332410405,0.16852744046986878,-3.271974761787375,0.11329895413745839,21335715621.21971,True,582616291,17754338,1367859252550.1387,1322814368515.622,45044884034.51651
adv_binance_q99_win120,train,300,62,0.10659503900076729,0.1885014133549327,-2.2987153795072803,0.08190637435416541,21335715621.21971,True,582616291,17754338,1367859252550.1387,1322814368515.622,45044884034.51651
adv_binance_q99_win120,validation,30,28,-0.0464039506298896,-0.04415555622762784,-0.11074946233721612,0.0022483944022617594,26251724155.02062,True,492757623,14654647,760732716265.9829,735048276340.5773,25684439925.40562
adv_binance_q99_win120,validation,120,28,-0.03259769448034573,0.013352147826830505,-1.3476099152686418,0.045949842307176234,26251724155.02062,True,492757623,14654647,760732716265.9829,735048276340.5773,25684439925.40562
adv_binance_q99_win120,validation,300,28,0.024514989647874786,0.0889202042283984,-1.818660960548021,0.06440521458052362,26251724155.02062,True,492757623,14654647,760732716265.9829,735048276340.5773,25684439925.40562
adv_binance_q99_win30,train,30,62,-0.06964367756812292,-0.05254505314210411,-1.5196447152351131,0.017098624426018817,21805116879.716442,True,594459571,5911058,1367859252550.1387,1351917246542.4194,15942006007.719261
adv_binance_q99_win30,train,120,62,0.055228486332410405,0.12305853534823899,-5.69690917149522,0.06783004901582859,21805116879.716442,True,594459571,5911058,1367859252550.1387,1351917246542.4194,15942006007.719261
adv_binance_q99_win30,train,300,62,0.10659503900076729,0.1734767724814291,-5.565123371303356,0.0668817334806618,21805116879.716442,True,594459571,5911058,1367859252550.1387,1351917246542.4194,15942006007.719261
adv_binance_q99_win30,validation,30,28,-0.0464039506298896,-0.04190997535870999,-0.45367908898706,0.004493975271179611,26872507641.476734,True,502870382,4541888,760732716265.9829,752430213961.3485,8302502304.63439
adv_binance_q99_win30,validation,120,28,-0.03259769448034573,0.0009236436134645666,-3.070533327466248,0.0335213380938103,26872507641.476734,True,502870382,4541888,760732716265.9829,752430213961.3485,8302502304.63439
adv_binance_q99_win30,validation,300,28,0.024514989647874786,0.08468323414734318,-5.428347704186376,0.06016824449946839,26872507641.476734,True,502870382,4541888,760732716265.9829,752430213961.3485,8302502304.63439
adv_binance_q99_win45,train,30,62,-0.06964367756812292,-0.04510403434362295,-1.5837980888344398,0.024539643224499974,21710389417.10386,True,592159977,8210652,1367859252550.1387,1346044143860.4392,21815108689.69953
adv_binance_q99_win45,train,120,62,0.055228486332410405,0.14726284999075376,-5.623510868045817,0.09203436365834336,21710389417.10386,True,592159977,8210652,1367859252550.1387,1346044143860.4392,21815108689.69953
adv_binance_q99_win45,train,300,62,0.10659503900076729,0.19207718643639696,-5.167856974830972,0.08548214743562967,21710389417.10386,True,592159977,8210652,1367859252550.1387,1346044143860.4392,21815108689.69953
adv_binance_q99_win45,validation,30,28,-0.0464039506298896,-0.034753317559431694,-0.7987363445686271,0.011650633070457904,26754701784.80328,True,500978790,6433480,760732716265.9829,749131649974.4918,11601066291.49113
adv_binance_q99_win45,validation,120,28,-0.03259769448034573,0.015331891900547448,-3.12762096440585,0.04792958638089318,26754701784.80328,True,500978790,6433480,760732716265.9829,749131649974.4918,11601066291.49113
adv_binance_q99_win45,validation,300,28,0.024514989647874786,0.09232543835908807,-4.354302616609635,0.06781044871121329,26754701784.80328,True,500978790,6433480,760732716265.9829,749131649974.4918,11601066291.49113
adv_binance_q99_win60,train,30,62,-0.06964367756812292,-0.04119453451478271,-1.4850353622136139,0.028449143053340217,21627536045.874886,True,590075920,10294709,1367859252550.1387,1340907234844.243,26952017705.89565
adv_binance_q99_win60,train,120,62,0.055228486332410405,0.15586010334083936,-4.951360065706137,0.10063161700842896,21627536045.874886,True,590075920,10294709,1367859252550.1387,1340907234844.243,26952017705.89565
adv_binance_q99_win60,train,300,62,0.10659503900076729,0.19739872654762766,-4.41103784885114,0.09080368754686037,21627536045.874886,True,590075920,10294709,1367859252550.1387,1340907234844.243,26952017705.89565
adv_binance_q99_win60,validation,30,28,-0.0464039506298896,-0.035259829243032566,-0.6065200209216975,0.011144121386857032,26639013296.77637,True,499167139,8245131,760732716265.9829,745892372309.7384,14840343956.24453
adv_binance_q99_win60,validation,120,28,-0.03259769448034573,0.01641027714122899,-2.4957934480749393,0.04900797162157472,26639013296.77637,True,499167139,8245131,760732716265.9829,745892372309.7384,14840343956.24453
adv_binance_q99_win60,validation,300,28,0.024514989647874786,0.09322318809149871,-3.4288363130810873,0.06870819844362393,26639013296.77637,True,499167139,8245131,760732716265.9829,745892372309.7384,14840343956.24453
adv_binance_q99_win90,train,30,62,-0.06964367756812292,-0.039697200006029776,-1.1672556868112545,0.02994647756209315,21476301631.880344,True,586194268,14176361,1367859252550.1387,1331530701176.5813,36328551373.55739
adv_binance_q99_win90,train,120,62,0.055228486332410405,0.1620349955990015,-3.8594926020917906,0.1068065092665911,21476301631.880344,True,586194268,14176361,1367859252550.1387,1331530701176.5813,36328551373.55739
