strategy,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
adv_binance_q99_win120,30,90,-0.06133808360835863,-0.03800215780302114,-0.7402945235872137,0.02333592580533749,22865140498.402218,True,1075373914,32408985,2128591968816.1216,2057862644856.1995,70729323959.92213
adv_binance_q99_win120,120,90,0.023840484278585643,0.11310035369465768,-2.5731665373092283,0.08925986941607203,22865140498.402218,True,1075373914,32408985,2128591968816.1216,2057862644856.1995,70729323959.92213
adv_binance_q99_win120,300,90,0.07726063399960577,0.1529319858679565,-2.1243898212470147,0.07567135186835074,22865140498.402218,True,1075373914,32408985,2128591968816.1216,2057862644856.1995,70729323959.92213
adv_binance_q99_win30,30,90,-0.06133808360835863,-0.048742376064175565,-1.1546060865046661,0.012595707544183064,23381638450.041866,True,1097329953,10452946,2128591968816.1216,2104347460503.768,24244508312.35365
adv_binance_q99_win30,120,90,0.023840484278585643,0.07938799878288365,-4.797509966654437,0.055547514504298005,23381638450.041866,True,1097329953,10452946,2128591968816.1216,2104347460503.768,24244508312.35365
adv_binance_q99_win30,300,90,0.07726063399960577,0.14172776605493936,-5.518284710901321,0.0644671320553336,23381638450.041866,True,1097329953,10452946,2128591968816.1216,2104347460503.768,24244508312.35365
adv_binance_q99_win45,30,90,-0.06133808360835863,-0.041403127925280295,-1.311248841553211,0.019934955683078334,23279731042.610344,True,1093138767,14644132,2128591968816.1216,2095175793834.931,33416174981.19066
adv_binance_q99_win45,120,90,0.023840484278585643,0.10009083864561964,-4.757014800058118,0.076250354367034,23279731042.610344,True,1093138767,14644132,2128591968816.1216,2095175793834.931,33416174981.19066
adv_binance_q99_win45,300,90,0.07726063399960577,0.15641087535888284,-4.885415969935297,0.07915024135927708,23279731042.610344,True,1093138767,14644132,2128591968816.1216,2095175793834.931,33416174981.19066
adv_binance_q99_win60,30,90,-0.06133808360835863,-0.039073271227723735,-1.1730771641819322,0.022264812380634894,23186662301.710903,True,1089243059,18539840,2128591968816.1216,2086799607153.9814,41792361662.14018
adv_binance_q99_win60,120,90,0.023840484278585643,0.10601604484781271,-4.079395626181979,0.08217556056922706,23186662301.710903,True,1089243059,18539840,2128591968816.1216,2086799607153.9814,41792361662.14018
adv_binance_q99_win60,300,90,0.07726063399960577,0.16016288499901804,-4.0622609899835584,0.08290225099941227,23186662301.710903,True,1089243059,18539840,2128591968816.1216,2086799607153.9814,41792361662.14018
adv_binance_q99_win90,30,90,-0.06133808360835863,-0.038290746464621404,-0.9012275387442089,0.023047337143737225,23019349799.818195,True,1081984854,25798045,2128591968816.1216,2071741481983.6377,56850486832.48389
adv_binance_q99_win90,120,90,0.023840484278585643,0.10880664583582307,-3.072490458000547,0.08496616155723744,23019349799.818195,True,1081984854,25798045,2128591968816.1216,2071741481983.6377,56850486832.48389
adv_binance_q99_win90,300,90,0.07726063399960577,0.1601548779464928,-2.943565631015046,0.08289424394688703,23019349799.818195,True,1081984854,25798045,2128591968816.1216,2071741481983.6377,56850486832.48389
no_filter,30,90,-0.06133808360835863,-0.06133808360835863,,0.0,23651021875.734684,True,1107782899,0,2128591968816.1216,2128591968816.1216,0.0
no_filter,120,90,0.023840484278585643,0.023840484278585643,,0.0,23651021875.734684,True,1107782899,0,2128591968816.1216,2128591968816.1216,0.0
no_filter,300,90,0.07726063399960577,0.07726063399960577,,0.0,23651021875.734684,True,1107782899,0,2128591968816.1216,2128591968816.1216,0.0
