symbol,exchange,event_count,q90,q95,q99,max_notional
all,all,361875,16684.133400000002,38929.5275,196940.35950000002,15482567.629269999
btcusdt,binance,63660,16820.348,39357.2719,171672.732,12196879.2495
btcusdt,bybit,124465,18679.632999999998,43865.2,237942.057,3439242.7979
ethusdt,binance,76634,13563.8116,31441.512199999997,157971.0,15482567.629269999
ethusdt,bybit,97116,16288.378999999999,38134.144,208399.34010000003,3031573.02
