date,split,symbol,variant,horizon_s,rule,pnl_all,pnl_kept,pnl_filtered,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count
2025-11-01,train,btcusdt,current_hybrid,30,return5s_gt_50,-0.12508636546880753,,-0.12508636546880753,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,current_hybrid,120,baseline_liq1s_d200_gt_100k,0.022355575861151274,6.178139280684947,0.00618259938522075,430684586.5518,1128564.5779,429556021.97389996,239,149048
2025-11-01,train,btcusdt,current_hybrid,300,baseline_liq1s_d200_gt_100k,-0.010943309380680413,11.24703391898534,-0.040521184369732934,430684586.5518,1128564.5779,429556021.97389996,239,149048
2025-11-01,train,btcusdt,eth100_btc50_liq2_long,30,return5s_gt_50,-0.12508636546880753,,-0.12508636546880753,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_liq2_long,120,liq2s_d200_gt_2m,0.022355575861151274,,0.022355575861151274,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_liq2_long,300,liq2s_d200_gt_2m,-0.010943309380680413,,-0.010943309380680413,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_baseline_and_ret20_long,30,return5s_gt_50,-0.12508636546880753,,-0.12508636546880753,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_baseline_and_ret20_long,120,baseline_and_return5s_gt_20,0.022355575861151274,,0.022355575861151274,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_baseline_and_ret20_long,300,baseline_and_return5s_gt_20,-0.010943309380680413,,-0.010943309380680413,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_baseline_or_ret50_long,30,return5s_gt_50,-0.12508636546880753,,-0.12508636546880753,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_baseline_or_ret50_long,120,baseline_or_return5s_gt_50,0.022355575861151274,6.178139280684947,0.00618259938522075,430684586.5518,1128564.5779,429556021.97389996,239,149048
2025-11-01,train,btcusdt,eth100_btc50_baseline_or_ret50_long,300,baseline_or_return5s_gt_50,-0.010943309380680413,11.24703391898534,-0.040521184369732934,430684586.5518,1128564.5779,429556021.97389996,239,149048
2025-11-01,train,btcusdt,eth100_btc50_liq2_and_ret20_long,30,return5s_gt_50,-0.12508636546880753,,-0.12508636546880753,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_liq2_and_ret20_long,120,liq2s_and_return5s_gt_20,0.022355575861151274,,0.022355575861151274,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_liq2_and_ret20_long,300,liq2s_and_return5s_gt_20,-0.010943309380680413,,-0.010943309380680413,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_liq2_or_ret50_long,30,return5s_gt_50,-0.12508636546880753,,-0.12508636546880753,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_liq2_or_ret50_long,120,liq2s_or_return5s_gt_50,0.022355575861151274,,0.022355575861151274,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_liq2_or_ret50_long,300,liq2s_or_return5s_gt_50,-0.010943309380680413,,-0.010943309380680413,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_bybit_or_ret50_long,30,return5s_gt_50,-0.12508636546880753,,-0.12508636546880753,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_bybit_or_ret50_long,120,bybit5s_or_return5s_gt_50,0.022355575861151274,,0.022355575861151274,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_bybit_or_ret50_long,300,bybit5s_or_return5s_gt_50,-0.010943309380680413,,-0.010943309380680413,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_ret5_long,30,return5s_gt_50,-0.12508636546880753,,-0.12508636546880753,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_ret5_long,120,return5s_gt_50,0.022355575861151274,,0.022355575861151274,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,btcusdt,eth100_btc50_ret5_long,300,return5s_gt_50,-0.010943309380680413,,-0.010943309380680413,430684586.5518,0.0,430684586.5518,0,149287
2025-11-01,train,ethusdt,current_hybrid,30,return5s_gt_50,-0.20814359666106597,,-0.20814359666106597,470549064.15529,0.0,470549064.15529,0,247819
